top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch,seed
51.4382,48.5618,76.1659,23.8341,28.3504,71.6496,54.4114,45.5886,2.3013014793395996,3.5152692794799805,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,19,2
51.2647,48.7353,76.0408,23.9592,27.6182,72.3818,53.5481,46.4519,2.313969373703003,3.5672783851623535,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,19,2
56.3599,43.6401,80.2868,19.7132,36.0517,63.9483,62.5182,37.4818,2.099900722503662,3.061462879180908,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,29,0
55.9888,44.0112,79.9359,20.0641,33.964,66.036,60.0956,39.9044,2.1657614707946777,3.2317051887512207,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,29,0
55.6277,44.3723,79.5889,20.4111,32.308,67.692,58.1007,41.8993,2.233003616333008,3.3779587745666504,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,29,0
55.4058,44.5942,79.4558,20.5442,31.6101,68.3899,57.2676,42.7324,2.265469551086426,3.4400475025177,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,29,0
54.9419,45.0581,79.0645,20.9355,30.4099,69.5901,55.6943,44.3057,2.35187029838562,3.562138557434082,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,29,0
56.2611,43.7389,80.2162,19.7838,36.0194,63.9806,62.4657,37.5343,2.115222930908203,3.072390079498291,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,29,1
56.009,43.991,79.9459,20.0541,33.958,66.042,60.0956,39.9044,2.165755271911621,3.231661081314087,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,29,1
55.6136,44.3864,79.5808,20.4192,32.312,67.688,58.0967,41.9033,2.2330079078674316,3.3779830932617188,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,29,1
55.4119,44.5881,79.4558,20.5442,31.5818,68.4182,57.2696,42.7304,2.2654809951782227,3.440035581588745,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,29,1
54.9399,45.0601,79.0705,20.9295,30.4099,69.5901,55.7185,44.2815,2.3518900871276855,3.5620980262756348,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,29,1
56.249,43.751,80.2102,19.7898,36.0295,63.9705,62.4637,37.5363,2.115248203277588,3.0724472999572754,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,29,2
56.0069,43.9931,79.9318,20.0682,33.9317,66.0683,60.1158,39.8842,2.1657497882843018,3.2316718101501465,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,29,2
55.6116,44.3884,79.5909,20.4091,32.306,67.694,58.0725,41.9275,2.2330164909362793,3.3779656887054443,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,29,2
55.4139,44.5861,79.4538,20.5462,31.6201,68.3799,57.2394,42.7606,2.2654643058776855,3.4400253295898438,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,29,2
54.95,45.05,79.0705,20.9295,30.422,69.578,55.7145,44.2855,2.351931571960449,3.562124490737915,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,29,2
58.9176,41.0824,82.0881,17.9119,38.3411,61.6589,65.2654,34.7346,1.9318149089813232,2.898798942565918,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,39,0
58.4759,41.5241,81.7613,18.2387,36.1163,63.8837,62.8893,37.1107,1.9892544746398926,3.061570644378662,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,39,0
58.024,41.976,81.4971,18.5029,34.4037,65.5963,60.9287,39.0713,2.053006410598755,3.2022881507873535,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,39,0
57.8284,42.1716,81.366,18.634,33.7643,66.2357,60.136,39.864,2.084575653076172,3.26282000541687,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,39,0
57.2676,42.7324,80.9263,19.0737,32.6146,67.3854,58.8107,41.1893,2.1689794063568115,3.3754427433013916,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,39,0
58.8228,41.1772,82.0518,17.9482,38.2766,61.7234,65.2412,34.7588,1.9453959465026855,2.9075770378112793,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,39,1
58.4718,41.5282,81.7613,18.2387,36.1122,63.8878,62.8752,37.1248,1.989243745803833,3.061561107635498,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,39,1
58.0361,41.9639,81.491,18.509,34.4118,65.5882,60.9549,39.0451,2.0529990196228027,3.2022619247436523,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,39,1
57.8223,42.1777,81.366,18.634,33.7583,66.2417,60.142,39.858,2.084587574005127,3.262817144393921,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,39,1
57.2777,42.7223,80.9242,19.0758,32.6045,67.3955,58.8026,41.1974,2.1689023971557617,3.3754658699035645,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,39,1
58.8087,41.1913,82.0498,17.9502,38.2746,61.7254,65.207,34.793,1.945422887802124,2.907576560974121,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,39,2
58.4537,41.5463,81.7674,18.2326,36.1122,63.8878,62.8711,37.1289,1.9892336130142212,3.061638593673706,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,39,2
58.0261,41.9739,81.5011,18.4989,34.4078,65.5922,60.9448,39.0552,2.052981376647949,3.20229172706604,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,39,2
57.8183,42.1817,81.3579,18.6421,33.7462,66.2538,60.1299,39.8701,2.084595203399658,3.2628095149993896,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,39,2
57.2676,42.7324,80.9202,19.0798,32.6206,67.3794,58.7986,41.2014,2.168912887573242,3.3754568099975586,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,39,2
61.7819,38.2181,84.3452,15.6548,41.4898,58.5102,68.4726,31.5274,1.7627209424972534,2.7174439430236816,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,49,0
61.326,38.674,83.966,16.034,39.1056,60.8944,66.2962,33.7038,1.833662986755371,2.8909127712249756,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,49,0
60.9529,39.0471,83.5525,16.4475,37.0704,62.9296,64.0814,35.9186,1.9112685918807983,3.0585014820098877,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,49,0
60.7048,39.2952,83.3871,16.6129,36.1889,63.8111,63.091,36.909,1.9483940601348877,3.132573366165161,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,49,0
60.1581,39.8419,82.9615,17.0385,34.6055,65.3945,61.1828,38.8172,2.0404984951019287,3.270875930786133,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,49,0
61.671,38.329,84.2868,15.7132,41.4112,58.5888,68.398,31.602,1.781144142150879,2.7301299571990967,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,49,1
61.3341,38.6659,83.964,16.036,39.1217,60.8783,66.3002,33.6998,1.83366858959198,2.890890121459961,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,49,1
60.9428,39.0572,83.5465,16.4535,37.0683,62.9317,64.0673,35.9327,1.9112879037857056,3.058403730392456,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,49,1
60.6987,39.3013,83.3932,16.6068,36.1748,63.8252,63.0829,36.9171,1.9483824968338013,3.1325926780700684,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,49,1
60.1702,39.8298,82.9615,17.0385,34.6458,65.3542,61.1949,38.8051,2.0404868125915527,3.2708754539489746,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,49,1
61.671,38.329,84.2908,15.7092,41.4071,58.5929,68.3859,31.6141,1.7811425924301147,2.7301313877105713,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,49,2
61.326,38.674,83.966,16.034,39.0975,60.9025,66.3123,33.6877,1.833665132522583,2.890901565551758,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,49,2
60.9307,39.0693,83.5606,16.4394,37.0522,62.9478,64.0512,35.9488,1.9112887382507324,3.0584099292755127,26.25,224,1.0,bicubic,pgd,5,xcit_small_12_p16_224,49,2
60.7007,39.2993,83.3912,16.6088,36.1869,63.8131,63.091,36.909,1.948399305343628,3.1326324939727783,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,49,2
60.1581,39.8419,82.9635,17.0365,34.6397,65.3603,61.199,38.801,2.0405168533325195,3.270894765853882,26.25,224,1.0,bicubic,pgd,200,xcit_small_12_p16_224,49,2
64.6018,35.3982,86.1163,13.8837,44.4106,55.5894,71.2441,28.7559,1.6230648756027222,2.5367584228515625,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,59,0
