"Step","resnet50_gelu","model: resnet50_gelu - eval_robust_top1__MIN","model: resnet50_gelu - eval_robust_top1__MAX","xcit_small_12_p16_224","model: xcit_small_12_p16_224 - eval_robust_top1__MIN","model: xcit_small_12_p16_224 - eval_robust_top1__MAX"
"59","43.07065200805664","43.07065200805664","43.07065200805664","41.270381927490234","41.270381927490234","41.270381927490234"
"60","47.072811126708984","47.072811126708984","47.072811126708984","41.76590347290039","41.76590347290039","41.76590347290039"
"61","47.524375915527344","47.524375915527344","47.524375915527344","41.925750732421875","41.925750732421875","41.925750732421875"
"62","47.84806442260742","47.84806442260742","47.84806442260742","42.66304397583008","42.66304397583008","42.66304397583008"
"63","47.90001678466797","47.90001678466797","47.90001678466797","42.52317810058594","42.52317810058594","42.52317810058594"
"64","48.235694885253906","48.235694885253906","48.235694885253906","43.306427001953125","43.306427001953125","43.306427001953125"
"65","48.18174362182617","48.18174362182617","48.18174362182617","43.5921516418457","43.5921516418457","43.5921516418457"
"66","48.29963302612305","48.29963302612305","48.29963302612305","44.1076545715332","44.1076545715332","44.1076545715332"
"67","48.505435943603516","48.505435943603516","48.505435943603516","44.00375747680664","44.00375747680664","44.00375747680664"
"68","48.50143814086914","48.50143814086914","48.50143814086914","44.43933868408203","44.43933868408203","44.43933868408203"
"69","48.353580474853516","48.353580474853516","48.353580474853516","45.04875183105469","45.04875183105469","45.04875183105469"
"70","48.5194206237793","48.5194206237793","48.5194206237793","45.676151275634766","45.676151275634766","45.676151275634766"
"71","48.56138229370117","48.56138229370117","48.56138229370117","45.756072998046875","45.756072998046875","45.756072998046875"
"72","48.62532043457031","48.62532043457031","48.62532043457031","46.27357864379883","46.27357864379883","46.27357864379883"
"73","48.73121643066406","48.73121643066406","48.73121643066406","46.81505584716797","46.81505584716797","46.81505584716797"
"74","48.571372985839844","48.571372985839844","48.571372985839844","47.102779388427734","47.102779388427734","47.102779388427734"
"75","48.6333122253418","48.6333122253418","48.6333122253418","47.51638412475586","47.51638412475586","47.51638412475586"
"76","48.61732864379883","48.61732864379883","48.61732864379883","47.76414489746094","47.76414489746094","47.76414489746094"
"77","48.81913375854492","48.81913375854492","48.81913375854492","47.856056213378906","47.856056213378906","47.856056213378906"
"78","48.84910583496094","48.84910583496094","48.84910583496094","48.805145263671875","48.805145263671875","48.805145263671875"
"79","48.74919891357422","48.74919891357422","48.74919891357422","49.200767517089844","49.200767517089844","49.200767517089844"
"80","48.71923065185547","48.71923065185547","48.71923065185547","49.17878723144531","49.17878723144531","49.17878723144531"
"81","48.69325256347656","48.69325256347656","48.69325256347656","49.47850036621094","49.47850036621094","49.47850036621094"
"82","48.75719451904297","48.75719451904297","48.75719451904297","50.057945251464844","50.057945251464844","50.057945251464844"
"83","48.607337951660156","48.607337951660156","48.607337951660156","50.47554397583008","50.47554397583008","50.47554397583008"
"84","48.82512664794922","48.82512664794922","48.82512664794922","50.98505401611328","50.98505401611328","50.98505401611328"
"85","48.675270080566406","48.675270080566406","48.675270080566406","51.33671569824219","51.33671569824219","51.33671569824219"
"86","48.64130401611328","48.64130401611328","48.64130401611328","51.67039489746094","51.67039489746094","51.67039489746094"
"87","48.60933303833008","48.60933303833008","48.60933303833008","51.888187408447266","51.888187408447266","51.888187408447266"
"88","48.66727828979492","48.66727828979492","48.66727828979492","52.32976150512695","52.32976150512695","52.32976150512695"
"89","48.7092399597168","48.7092399597168","48.7092399597168","52.67143630981445","52.67143630981445","52.67143630981445"
"90","49.66831970214844","49.66831970214844","49.66831970214844","52.59550857543945","52.59550857543945","52.59550857543945"
"91","49.75223922729492","49.75223922729492","49.75223922729492","52.96315383911133","52.96315383911133","52.96315383911133"
"92","49.74024963378906","49.74024963378906","49.74024963378906","52.99911880493164","52.99911880493164","52.99911880493164"
"93","49.86013412475586","49.86013412475586","49.86013412475586","53.412723541259766","53.412723541259766","53.412723541259766"
"94","49.80618667602539","49.80618667602539","49.80618667602539","53.73841094970703","53.73841094970703","53.73841094970703"
"95","49.96403503417969","49.96403503417969","49.96403503417969","53.60453796386719","53.60453796386719","53.60453796386719"
"96","49.868125915527344","49.868125915527344","49.868125915527344","54.09806442260742","54.09806442260742","54.09806442260742"
"97","49.9680290222168","49.9680290222168","49.9680290222168","54.04411697387695","54.04411697387695","54.04411697387695"
"98","49.93806076049805","49.93806076049805","49.93806076049805","53.926231384277344","53.926231384277344","53.926231384277344"
"99","49.96403503417969","49.96403503417969","49.96403503417969","54.04811477661133","54.04811477661133","54.04811477661133"
"100","","","","54.21195602416992","54.21195602416992","54.21195602416992"
"101","","","","54.205963134765625","54.205963134765625","54.205963134765625"
"102","","","","54.26590347290039","54.26590347290039","54.26590347290039"
"103","","","","54.209957122802734","54.209957122802734","54.209957122802734"
"104","","","","54.181983947753906","54.181983947753906","54.181983947753906"
"105","","","","54.14801788330078","54.14801788330078","54.14801788330078"
"106","","","","54.459716796875","54.459716796875","54.459716796875"
"107","","","","54.365806579589844","54.365806579589844","54.365806579589844"
"108","","","","54.130035400390625","54.130035400390625","54.130035400390625"
"109","","","","54.28788375854492","54.28788375854492","54.28788375854492"
