"epoch","model: xcit_large_12_p16_224 - _step","model: xcit_large_12_p16_224 - _step__MIN","model: xcit_large_12_p16_224 - _step__MAX","xcit_large_12_p16_224","model: xcit_large_12_p16_224 - train_robust_top1__MIN","model: xcit_large_12_p16_224 - train_robust_top1__MAX","model: xcit_medium_12_p16_224 - _step","model: xcit_medium_12_p16_224 - _step__MIN","model: xcit_medium_12_p16_224 - _step__MAX","xcit_medium_12_p16_224","model: xcit_medium_12_p16_224 - train_robust_top1__MIN","model: xcit_medium_12_p16_224 - train_robust_top1__MAX","model: xcit_small_12_p16_224 - _step","model: xcit_small_12_p16_224 - _step__MIN","model: xcit_small_12_p16_224 - _step__MAX","xcit_small_12_p16_224","model: xcit_small_12_p16_224 - train_robust_top1__MIN","model: xcit_small_12_p16_224 - train_robust_top1__MAX"
"22","22","22","22","29.462779998779297","29.462779998779297","29.462779998779297","22","22","22","26.888619422912598","26.857810974121094","26.9194278717041","22","22","22","25.333763122558594","25.333763122558594","25.333763122558594"
"23","23","23","23","29.725252151489258","29.725252151489258","29.725252151489258","23","23","23","27.16895580291748","27.159210205078125","27.178701400756836","23","23","23","25.551851272583008","25.551851272583008","25.551851272583008"
"24","24","24","24","29.954259872436523","29.954259872436523","29.954259872436523","24","24","24","27.378662109375","27.360143661499023","27.397180557250977","24","24","24","25.680160522460938","25.680160522460938","25.680160522460938"
"25","25","25","25","30.203392028808594","30.203392028808594","30.203392028808594","25","25","25","27.649868965148926","27.64451789855957","27.65522003173828","25","25","25","25.979135513305664","25.979135513305664","25.979135513305664"
"26","26","26","26","30.421247482299805","30.421247482299805","30.421247482299805","26","26","26","27.866446495056152","27.85706901550293","27.875823974609375","26","26","26","26.193714141845703","26.193714141845703","26.193714141845703"
"27","27","27","27","30.680519104003906","30.680519104003906","30.680519104003906","27","27","27","28.126173973083496","28.116418838500977","28.135929107666016","27","27","27","26.426700592041016","26.426700592041016","26.426700592041016"
"28","28","28","28","30.946109771728516","30.946109771728516","30.946109771728516","14","0","28","28.422183990478516","28.417499542236328","28.426868438720703","28","28","28","26.696035385131836","26.696035385131836","26.696035385131836"
"29","29","29","29","31.14797592163086","31.14797592163086","31.14797592163086","15","1","29","28.609190940856934","28.592844009399414","28.625537872314453","29","29","29","26.8526611328125","26.8526611328125","26.8526611328125"
"30","30","30","30","31.408105850219727","31.408105850219727","31.408105850219727","16","2","30","28.799564361572266","28.75644874572754","28.842679977416992","30","30","30","27.044462203979492","27.044462203979492","27.044462203979492"
"31","31","31","31","31.663009643554688","31.663009643554688","31.663009643554688","17","3","31","29.084449768066406","29.045713424682617","29.123186111450195","31","31","31","27.290241241455078","27.290241241455078","27.290241241455078"
"32","32","32","32","31.91214370727539","31.91214370727539","31.91214370727539","18","4","32","29.30722141265869","29.2875919342041","29.32685089111328","32","32","32","27.535863876342773","27.535863876342773","27.535863876342773"
"33","33","33","33","32.22531509399414","32.22531509399414","32.22531509399414","19","5","33","29.55188751220703","29.536725997924805","29.567049026489258","33","33","33","27.73577880859375","27.73577880859375","27.73577880859375"
"34","34","34","34","32.394107818603516","32.394107818603516","32.394107818603516","20","6","34","29.77469825744629","29.769466400146484","29.779930114746094","34","34","34","27.90839385986328","27.90839385986328","27.90839385986328"
"35","35","35","35","32.655250549316406","32.655250549316406","32.655250549316406","21","7","35","30.008557319641113","30.00295066833496","30.014163970947266","35","35","35","28.22733497619629","28.22733497619629","28.22733497619629"
"36","36","36","36","32.94736099243164","32.94736099243164","32.94736099243164","22","8","36","30.277687072753906","30.271408081054688","30.283966064453125","36","36","36","28.430604934692383","28.430604934692383","28.430604934692383"
"37","37","37","37","33.13502883911133","33.13502883911133","33.13502883911133","23","9","37","30.54364013671875","30.496049880981445","30.591230392456055","37","37","37","28.636369705200195","28.636369705200195","28.636369705200195"
"38","38","38","38","33.33915710449219","33.33915710449219","33.33915710449219","24","10","38","30.810346603393555","30.775135040283203","30.845558166503906","38","38","38","28.925905227661133","28.925905227661133","28.925905227661133"
"39","39","39","39","33.621360778808594","33.621360778808594","33.621360778808594","25","11","39","31.0822114944458","31.030799865722656","31.133623123168945","39","39","39","29.13970375061035","29.13970375061035","29.13970375061035"
"40","40","40","40","33.88406753540039","33.88406753540039","33.88406753540039","26","12","40","31.266776084899902","31.266456604003906","31.2670955657959","40","40","40","29.350929260253906","29.350929260253906","29.350929260253906"
"41","41","41","41","34.15855026245117","34.15855026245117","34.15855026245117","27","13","41","31.57335376739502","31.553585052490234","31.593122482299805","41","41","41","29.5833683013916","29.5833683013916","29.5833683013916"
"42","42","42","42","34.47655487060547","34.47655487060547","34.47655487060547","28","14","42","31.854820251464844","31.853891372680664","31.855749130249023","42","42","42","29.836557388305664","29.836557388305664","29.836557388305664"
"43","43","43","43","34.77997589111328","34.77997589111328","34.77997589111328","29","15","43","32.08161163330078","32.0606803894043","32.102542877197266","43","43","43","30.103240966796875","30.103240966796875","30.103240966796875"
"44","44","44","44","35.05461502075195","35.05461502075195","35.05461502075195","30","16","44","32.40419578552246","32.3896369934082","32.41875457763672","44","44","44","30.418750762939453","30.418750762939453","30.418750762939453"
"45","45","45","45","35.3489875793457","35.3489875793457","35.3489875793457","31","17","45","32.67957878112793","32.6657829284668","32.69337463378906","45","45","45","30.678024291992188","30.678024291992188","30.678024291992188"
"46","46","46","46","35.606075286865234","35.606075286865234","35.606075286865234","32","18","46","32.9715633392334","32.960819244384766","32.98230743408203","46","46","46","30.904769897460938","30.904769897460938","30.904769897460938"
"47","47","47","47","36.01620101928711","36.01620101928711","36.01620101928711","33","19","47","33.26996612548828","33.249610900878906","33.290321350097656","47","47","47","31.214275360107422","31.214275360107422","31.214275360107422"
"48","48","48","48","36.27328872680664","36.27328872680664","36.27328872680664","34","20","48","33.60224533081055","33.57759094238281","33.62689971923828","48","48","48","31.49757194519043","31.49757194519043","31.49757194519043"
"49","49","49","49","36.65525817871094","36.65525817871094","36.65525817871094","35","21","49","33.92279243469238","33.88656234741211","33.959022521972656","49","49","49","31.789995193481445","31.789995193481445","31.789995193481445"
"50","50","50","50","37.01998519897461","37.01998519897461","37.01998519897461","36","22","50","34.23339653015137","34.19615936279297","34.270633697509766","50","50","50","32.02703857421875","32.02703857421875","32.02703857421875"
"51","51","51","51","37.3513298034668","37.3513298034668","37.3513298034668","37","23","51","34.59035110473633","34.55345153808594","34.62725067138672","51","51","51","32.42764663696289","32.42764663696289","32.42764663696289"
"52","52","52","52","37.70646667480469","37.70646667480469","37.70646667480469","38","24","52","34.912994384765625","34.89268493652344","34.93330383300781","52","52","52","32.656890869140625","32.656890869140625","32.656890869140625"
"53","53","53","53","38.0293083190918","38.0293083190918","38.0293083190918","39","25","53","35.22199630737305","35.21131896972656","35.23267364501953","53","53","53","32.98035430908203","32.98035430908203","32.98035430908203"
"54","54","54","54","38.3895149230957","38.3895149230957","38.3895149230957","40","26","54","35.5827693939209","35.58184814453125","35.58369064331055","54","54","54","33.3117790222168","33.3117790222168","33.3117790222168"
"55","55","55","55","38.80642318725586","38.80642318725586","38.80642318725586","41","27","55","35.94385528564453","35.93414306640625","35.95356750488281","55","55","55","33.5909423828125","33.5909423828125","33.5909423828125"
"56","56","56","56","39.20461654663086","39.20461654663086","39.20461654663086","42","28","56","36.28804969787598","36.27153015136719","36.304569244384766","56","56","56","33.9599609375","33.9599609375","33.9599609375"
"57","57","57","57","39.58782958984375","39.58782958984375","39.58782958984375","43","29","57","36.65970993041992","36.638267517089844","36.68115234375","57","57","57","34.24388122558594","34.24388122558594","34.24388122558594"
"58","58","58","58","40.03024673461914","40.03024673461914","40.03024673461914","44","30","58","37.023826599121094","36.95848083496094","37.08917236328125","58","58","58","34.618125915527344","34.618125915527344","34.618125915527344"
"59","59","59","59","40.46236801147461","40.46236801147461","40.46236801147461","45","31","59","37.42800331115723","37.39594268798828","37.46006393432617","59","59","59","34.993228912353516","34.993228912353516","34.993228912353516"
"60","60","60","60","40.933021545410156","40.933021545410156","40.933021545410156","46","32","60","37.82658386230469","37.78313446044922","37.870033264160156","60","60","60","35.452571868896484","35.452571868896484","35.452571868896484"
"61","61","61","61","41.31623840332031","41.31623840332031","41.31623840332031","47","33","61","38.19036865234375","38.157989501953125","38.222747802734375","61","61","61","35.732513427734375","35.732513427734375","35.732513427734375"
"62","62","62","62","41.827293395996094","41.827293395996094","41.827293395996094","48","34","62","38.618947982788086","38.56570816040039","38.67218780517578","62","62","62","36.12875747680664","36.12875747680664","36.12875747680664"
"63","63","63","63","42.28343963623047","42.28343963623047","42.28343963623047","49","35","63","39.057159423828125","38.97483444213867","39.13948440551758","63","63","63","36.52203369140625","36.52203369140625","36.52203369140625"
"64","64","64","64","42.8248405456543","42.8248405456543","42.8248405456543","50","36","64","39.51536750793457","39.44649124145508","39.58424377441406","64","64","64","36.96538543701172","36.96538543701172","36.96538543701172"
"65","65","65","65","43.34151077270508","43.34151077270508","43.34151077270508","51","37","65","39.90011215209961","39.76584243774414","40.03438186645508","65","65","65","37.338382720947266","37.338382720947266","37.338382720947266"
"66","66","66","66","43.808265686035156","43.808265686035156","43.808265686035156","52","38","66","40.354129791259766","40.19815444946289","40.51010513305664","66","66","66","37.689697265625","37.689697265625","37.689697265625"
"67","67","67","67","44.38874435424805","44.38874435424805","44.38874435424805","53","39","67","40.83119201660156","40.72132873535156","40.94105529785156","67","67","67","38.209022521972656","38.209022521972656","38.209022521972656"
"68","68","68","68","44.857444763183594","44.857444763183594","44.857444763183594","54","40","68","41.28657531738281","41.157230377197266","41.41592025756836","68","68","68","38.63833236694336","38.63833236694336","38.63833236694336"
"69","69","69","69","45.46062088012695","45.46062088012695","45.46062088012695","55","41","69","41.79526329040527","41.66931915283203","41.921207427978516","69","69","69","39.01632308959961","39.01632308959961","39.01632308959961"
"70","70","70","70","46.045780181884766","46.045780181884766","46.045780181884766","56","42","70","42.23881530761719","42.07157516479492","42.40605545043945","70","70","70","39.5235595703125","39.5235595703125","39.5235595703125"
"71","71","71","71","46.622745513916016","46.622745513916016","46.622745513916016","57","43","71","42.73581314086914","42.60654067993164","42.86508560180664","71","71","71","39.93828582763672","39.93828582763672","39.93828582763672"
"72","72","72","72","47.308990478515625","47.308990478515625","47.308990478515625","58","44","72","43.293378829956055","43.14509201049805","43.44166564941406","72","72","72","40.39052963256836","40.39052963256836","40.39052963256836"
"73","73","73","73","47.89446258544922","47.89446258544922","47.89446258544922","59","45","73","43.70569610595703","43.459293365478516","43.95209884643555","73","73","73","40.899871826171875","40.899871826171875","40.899871826171875"
"74","74","74","74","48.514408111572266","48.514408111572266","48.514408111572266","60","46","74","44.29872512817383","44.126808166503906","44.47064208984375","74","74","74","41.38667297363281","41.38667297363281","41.38667297363281"
"75","75","75","75","49.16141891479492","49.16141891479492","49.16141891479492","61","47","75","44.82124137878418","44.595027923583984","45.047454833984375","75","75","75","41.88127136230469","41.88127136230469","41.88127136230469"
"76","76","76","76","49.854061126708984","49.854061126708984","49.854061126708984","62","48","76","45.347740173339844","45.08002853393555","45.61545181274414","76","76","76","42.38764953613281","42.38764953613281","42.38764953613281"
"77","77","77","77","50.57720184326172","50.57720184326172","50.57720184326172","63","49","77","45.87664985656738","45.64122009277344","46.11207962036133","77","77","77","42.90525817871094","42.90525817871094","42.90525817871094"
"78","78","78","78","51.27186965942383","51.27186965942383","51.27186965942383","64","50","78","46.44614028930664","46.1524543762207","46.73982620239258","78","78","78","43.467716217041016","43.467716217041016","43.467716217041016"
"79","79","79","79","52.00187301635742","52.00187301635742","52.00187301635742","65","51","79","47.01788902282715","46.66493225097656","47.370845794677734","79","79","79","43.964969635009766","43.964969635009766","43.964969635009766"
"80","80","80","80","52.775794982910156","52.775794982910156","52.775794982910156","66","52","80","47.5447998046875","47.19794464111328","47.89165496826172","80","80","80","44.429771423339844","44.429771423339844","44.429771423339844"
"81","0","0","0","53.47748565673828","53.47748565673828","53.47748565673828","67","53","81","48.142906188964844","47.78879928588867","48.497013092041016","81","81","81","44.97896957397461","44.97896957397461","44.97896957397461"
"82","1","1","1","54.25662612915039","54.25662612915039","54.25662612915039","68","54","82","48.721853256225586","48.34718322753906","49.09652328491211","82","82","82","45.50141525268555","45.50141525268555","45.50141525268555"
"83","2","2","2","55.057456970214844","55.057456970214844","55.057456970214844","69","55","83","49.24316596984863","48.83881759643555","49.64751434326172","83","83","83","46.092735290527344","46.092735290527344","46.092735290527344"
"84","3","3","3","55.803524017333984","55.803524017333984","55.803524017333984","70","56","84","49.88767051696777","49.48986053466797","50.28548049926758","84","84","84","46.605506896972656","46.605506896972656","46.605506896972656"
"85","4","4","4","56.54312515258789","56.54312515258789","56.54312515258789","71","57","85","50.46794891357422","50.06494903564453","50.870948791503906","85","85","85","47.128265380859375","47.128265380859375","47.128265380859375"
"86","5","5","5","57.33053207397461","57.33053207397461","57.33053207397461","72","58","86","50.99956130981445","50.55900573730469","51.44011688232422","86","86","86","47.707340240478516","47.707340240478516","47.707340240478516"
"87","6","6","6","58.05976104736328","58.05976104736328","58.05976104736328","73","59","87","51.56005668640137","51.110984802246094","52.00912857055664","87","87","87","48.2318115234375","48.2318115234375","48.2318115234375"
"88","7","7","7","58.829383850097656","58.829383850097656","58.829383850097656","74","60","88","52.180572509765625","51.656410217285156","52.704734802246094","88","88","88","48.74216842651367","48.74216842651367","48.74216842651367"
"89","8","8","8","59.618595123291016","59.618595123291016","59.618595123291016","75","61","89","52.66476631164551","52.16849899291992","53.161033630371094","89","89","89","49.259464263916016","49.259464263916016","49.259464263916016"
"90","9","9","9","60.31560516357422","60.31560516357422","60.31560516357422","76","62","90","53.23736000061035","52.73851013183594","53.736209869384766","90","90","90","49.634803771972656","49.634803771972656","49.634803771972656"
"91","10","10","10","60.965965270996094","60.965965270996094","60.965965270996094","77","63","91","53.71514892578125","53.21867370605469","54.21162414550781","91","91","91","50.25599670410156","50.25599670410156","50.25599670410156"
"92","11","11","11","61.704010009765625","61.704010009765625","61.704010009765625","78","64","92","54.2274055480957","53.67940139770508","54.77540969848633","92","92","92","50.635311126708984","50.635311126708984","50.635311126708984"
"93","12","12","12","62.29018020629883","62.29018020629883","62.29018020629883","79","65","93","54.67569541931152","54.12849807739258","55.22289276123047","93","93","93","51.034515380859375","51.034515380859375","51.034515380859375"
"94","13","13","13","62.91238784790039","62.91238784790039","62.91238784790039","80","66","94","55.10708999633789","54.559715270996094","55.65446472167969","94","94","94","51.44432830810547","51.44432830810547","51.44432830810547"
"95","14","14","14","63.38420867919922","63.38420867919922","63.38420867919922","81","67","95","55.51685905456543","54.935115814208984","56.098602294921875","95","95","95","51.75983810424805","51.75983810424805","51.75983810424805"
"96","15","15","15","63.811885833740234","63.811885833740234","63.811885833740234","82","68","96","55.840301513671875","55.27265548706055","56.4079475402832","96","96","96","52.061622619628906","52.061622619628906","52.061622619628906"
"97","16","16","16","64.29088592529297","64.29088592529297","64.29088592529297","83","69","97","56.1278076171875","55.56093978881836","56.69467544555664","97","97","97","52.322532653808594","52.322532653808594","52.322532653808594"
"98","17","17","17","64.57862091064453","64.57862091064453","64.57862091064453","84","70","98","56.371503829956055","55.8109016418457","56.932106018066406","98","98","98","52.51090621948242","52.51090621948242","52.51090621948242"
"99","18","18","18","64.8169174194336","64.8169174194336","64.8169174194336","85","71","99","56.52728080749512","55.93813705444336","57.116424560546875","99","99","99","52.75691223144531","52.75691223144531","52.75691223144531"
"100","19","19","19","65.07852935791016","65.07852935791016","65.07852935791016","86","72","100","56.66444969177246","56.04188537597656","57.28701400756836","100","100","100","52.782264709472656","52.782264709472656","52.782264709472656"
"101","20","20","20","65.2470932006836","65.2470932006836","65.2470932006836","87","73","101","56.77268028259277","56.15616989135742","57.389190673828125","101","101","101","52.895751953125","52.895751953125","52.895751953125"
"102","21","21","21","65.3516845703125","65.3516845703125","65.3516845703125","88","74","102","56.81915092468262","56.19965362548828","57.43864822387695","102","102","102","52.9981689453125","52.9981689453125","52.9981689453125"
"103","22","22","22","65.46985626220703","65.46985626220703","65.46985626220703","89","75","103","56.85440635681152","56.204647064208984","57.50416564941406","103","103","103","52.98506546020508","52.98506546020508","52.98506546020508"
"104","23","23","23","65.6386489868164","65.6386489868164","65.6386489868164","90","76","104","56.9449520111084","56.36296081542969","57.52694320678711","104","104","104","53.08717346191406","53.08717346191406","53.08717346191406"
"105","24","24","24","65.67499542236328","65.67499542236328","65.67499542236328","91","77","105","57.01856994628906","56.33462142944336","57.702518463134766","105","105","105","53.103939056396484","53.103939056396484","53.103939056396484"
"106","25","25","25","65.7859878540039","65.7859878540039","65.7859878540039","92","78","106","57.05641555786133","56.376304626464844","57.73652648925781","106","106","106","53.148868560791016","53.148868560791016","53.148868560791016"
"107","26","26","26","65.90119171142578","65.90119171142578","65.90119171142578","93","79","107","57.086341857910156","56.406436920166016","57.7662467956543","107","107","107","53.29059600830078","53.29059600830078","53.29059600830078"
"108","27","27","27","66.04479217529297","66.04479217529297","66.04479217529297","94","80","108","57.09411811828613","56.458656311035156","57.72957992553711","108","108","108","53.25034713745117","53.25034713745117","53.25034713745117"
"109","28","28","28","66.07389068603516","66.07389068603516","66.07389068603516","40.5","0","81","57.10300254821777","56.42985534667969","57.77614974975586","109","109","109","53.27389907836914","53.27389907836914","53.27389907836914"
