57.6146,42.3854,80.7709,19.2291,35.4849,64.5151,62.7602,37.2398,1.9623825550079346,3.0482089519500732,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,49
57.6126,42.3874,80.7447,19.2553,35.2348,64.7652,62.5403,37.4597,1.9649994373321533,3.0647239685058594,26.25,224,1.0,bicubic,pgd,100,xcit_small_12_p16_224,49
top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch
60.3941,39.6059,82.7215,17.2785,39.8035,60.1965,67.22,32.78,1.825689673423767,2.7796523571014404,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,59
60.2993,39.7007,82.6932,17.3068,38.7667,61.2333,66.3426,33.6574,1.8292036056518555,2.8444936275482178,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,59
top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch
60.3253,39.6747,82.6999,17.3001,37.9831,62.0169,65.8071,34.1929,1.8299492597579956,2.893341541290283,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,59
top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch
60.3031,39.6969,82.6837,17.3163,37.7279,62.2721,65.6004,34.3996,1.8319177627563477,2.9064085483551025,26.25,224,1.0,bicubic,pgd,100,xcit_small_12_p16_224,59
top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch
63.9221,36.0779,85.2025,14.7975,43.4626,56.5374,70.4756,29.5244,1.6416810750961304,2.5773751735687256,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,69
63.8595,36.1405,85.1541,14.8459,42.2967,57.7033,69.6526,30.3474,1.6450915336608887,2.6453847885131836,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,69
63.803,36.197,85.1299,14.8701,41.4434,58.5566,68.9971,31.0029,1.6476044654846191,2.69958758354187,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,69
top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch
63.7732,36.2268,85.1835,14.8165,41.2021,58.7979,68.8234,31.1766,1.6480040550231934,2.710747241973877,26.25,224,1.0,bicubic,pgd,100,xcit_small_12_p16_224,69
top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch
67.9704,32.0296,87.8308,12.1692,47.5754,52.4246,74.4029,25.5971,1.4373810291290283,2.349458694458008,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,79
67.9421,32.0579,87.8046,12.1954,46.2542,53.7458,73.4973,26.5027,1.440020203590393,2.420457363128662,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,79
67.8816,32.1184,87.7985,12.2015,45.405,54.595,72.759,27.241,1.4424999952316284,2.478090763092041,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,79
67.805,32.195,87.7864,12.2136,45.052,54.948,72.5028,27.4972,1.4455821514129639,2.496807098388672,26.25,224,1.0,bicubic,pgd,100,xcit_small_12_p16_224,79
top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch
70.869,29.131,89.6825,10.3175,50.6757,49.3243,77.0816,22.9184,1.2894933223724365,2.193539619445801,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,89
70.8145,29.1855,89.6543,10.3457,49.3344,50.6656,76.2486,23.7514,1.2919507026672363,2.2689385414123535,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,89
70.7358,29.2642,89.5938,10.4062,48.2713,51.7287,75.5325,24.4675,1.2947964668273926,2.3308472633361816,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,89
70.6693,29.3307,89.5332,10.4668,47.8679,52.1321,75.2884,24.7116,1.2982457876205444,2.3508265018463135,26.25,224,1.0,bicubic,pgd,100,xcit_small_12_p16_224,89
top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch
72.4403,27.5597,90.4208,9.5792,52.0373,47.9627,78.3302,21.6698,1.2202118635177612,2.121607780456543,26.25,224,1.0,bicubic,pgd,1,xcit_small_12_p16_224,99
72.3979,27.6021,90.4066,9.5934,50.6172,49.3828,77.3782,22.6218,1.22226083278656,2.19903564453125,26.25,224,1.0,bicubic,pgd,2,xcit_small_12_p16_224,99
72.3112,27.6888,90.3522,9.6478,49.5139,50.4861,76.6439,23.3561,1.2250289916992188,2.2628889083862305,26.25,224,1.0,bicubic,pgd,10,xcit_small_12_p16_224,99
72.2567,27.7433,90.3219,9.6781,49.1568,50.8432,76.3615,23.6385,1.2286401987075806,2.2837467193603516,26.25,224,1.0,bicubic,pgd,100,xcit_small_12_p16_224,99
