top1,top1_err,top5,top5_err,robust_top1,robust_top1_err,robust_top5,robust_top5_err,loss,adv_loss,param_count,img_size,cropt_pct,interpolation,attack,attack_steps,model,epoch,seed
49.6374,50.3626,74.53,25.47,30.4311,69.5689,56.5149,43.4851,2.3771822452545166,3.381054401397705,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,19,0
49.6374,50.3626,74.53,25.47,30.1819,69.8181,56.2373,43.7627,2.3771822452545166,3.401136875152588,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,19,0
49.6374,50.3626,74.53,25.47,30.111,69.889,56.1887,43.8113,2.3771822452545166,3.4067063331604004,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,19,0
49.6374,50.3626,74.53,25.47,30.0624,69.9376,56.0935,43.9065,2.3771822452545166,3.4115920066833496,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,19,0
49.6374,50.3626,74.53,25.47,30.9497,69.0503,57.1611,42.8389,2.3771822452545166,3.3409388065338135,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,19,1
49.6374,50.3626,74.53,25.47,30.4351,69.5649,56.5108,43.4892,2.3771822452545166,3.381058692932129,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,19,1
49.6374,50.3626,74.53,25.47,30.19,69.81,56.2515,43.7485,2.3771822452545166,3.401122808456421,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,19,1
49.6374,50.3626,74.53,25.47,30.1009,69.8991,56.1745,43.8255,2.3771822452545166,3.406688690185547,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,19,1
49.6374,50.3626,74.53,25.47,30.0523,69.9477,56.1138,43.8862,2.3771822452545166,3.4115688800811768,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,19,1
49.6374,50.3626,74.53,25.47,30.9335,69.0665,57.1591,42.8409,2.3771822452545166,3.3409337997436523,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,19,2
49.6374,50.3626,74.53,25.47,30.4351,69.5649,56.5311,43.4689,2.3771822452545166,3.3810582160949707,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,19,2
49.6374,50.3626,74.53,25.47,30.186,69.814,56.2434,43.7566,2.3771822452545166,3.4011340141296387,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,19,2
49.6374,50.3626,74.53,25.47,30.0968,69.9032,56.1847,43.8153,2.3771822452545166,3.406708240509033,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,19,2
49.6374,50.3626,74.53,25.47,30.0624,69.9376,56.1138,43.8862,2.3771822452545166,3.411588430404663,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,19,2
54.3088,45.6912,78.6504,21.3496,34.7176,65.2824,61.4557,38.5443,2.118237018585205,3.0992395877838135,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,29,0
54.3088,45.6912,78.6504,21.3496,33.9964,66.0036,60.7406,39.2594,2.118237018585205,3.148827075958252,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,29,0
54.3088,45.6912,78.6504,21.3496,33.6804,66.3196,60.4185,39.5815,2.118237018585205,3.1742091178894043,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,29,0
54.3088,45.6912,78.6504,21.3496,33.5994,66.4006,60.3193,39.6807,2.118237018585205,3.1813931465148926,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,29,0
54.3088,45.6912,78.6504,21.3496,33.488,66.512,60.2808,39.7192,2.118237018585205,3.1876912117004395,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,29,0
54.3088,45.6912,78.6504,21.3496,34.7095,65.2905,61.4436,38.5564,2.118237018585205,3.099249839782715,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,29,1
54.3088,45.6912,78.6504,21.3496,34.0045,65.9955,60.7183,39.2817,2.118237018585205,3.148813009262085,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,29,1
54.3088,45.6912,78.6504,21.3496,33.6926,66.3074,60.4145,39.5855,2.118237018585205,3.174222946166992,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,29,1
54.3088,45.6912,78.6504,21.3496,33.5852,66.4148,60.3091,39.6909,2.118237018585205,3.1813340187072754,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,29,1
54.3088,45.6912,78.6504,21.3496,33.5123,66.4877,60.2666,39.7334,2.118237018585205,3.1876654624938965,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,29,1
54.3088,45.6912,78.6504,21.3496,34.7257,65.2743,61.4517,38.5483,2.118237018585205,3.099236011505127,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,29,2
54.3088,45.6912,78.6504,21.3496,34.0106,65.9894,60.7467,39.2533,2.118237018585205,3.14880633354187,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,29,2
54.3088,45.6912,78.6504,21.3496,33.6946,66.3054,60.4124,39.5876,2.118237018585205,3.174186944961548,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,29,2
54.3088,45.6912,78.6504,21.3496,33.5933,66.4067,60.301,39.699,2.118237018585205,3.1813478469848633,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,29,2
54.3088,45.6912,78.6504,21.3496,33.5042,66.4958,60.2565,39.7435,2.118237018585205,3.1876745223999023,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,29,2
56.5918,43.4082,80.1677,19.8323,36.7677,63.2323,64.1743,35.8257,2.0100317001342773,2.9687390327453613,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,39,0
56.5918,43.4082,80.1677,19.8323,36.0708,63.9292,63.5807,36.4193,2.0100317001342773,3.0190517902374268,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,39,0
56.5918,43.4082,80.1677,19.8323,35.6839,64.3161,63.2141,36.7859,2.0100317001342773,3.0451130867004395,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,39,0
56.5918,43.4082,80.1677,19.8323,35.613,64.387,63.1229,36.8771,2.0100317001342773,3.052495002746582,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,39,0
56.5918,43.4082,80.1677,19.8323,35.4915,64.5085,63.0034,36.9966,2.0100317001342773,3.0590505599975586,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,39,0
56.5918,43.4082,80.1677,19.8323,36.794,63.206,64.2087,35.7913,2.0100317001342773,2.9687438011169434,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,39,1
56.5918,43.4082,80.1677,19.8323,36.0708,63.9292,63.5787,36.4213,2.0100317001342773,3.0190553665161133,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,39,1
56.5918,43.4082,80.1677,19.8323,35.6981,64.3019,63.1999,36.8001,2.0100317001342773,3.0450987815856934,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,39,1
56.5918,43.4082,80.1677,19.8323,35.5968,64.4032,63.1168,36.8832,2.0100317001342773,3.0525007247924805,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,39,1
56.5918,43.4082,80.1677,19.8323,35.4996,64.5004,63.0459,36.9541,2.0100317001342773,3.0590384006500244,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,39,1
56.5918,43.4082,80.1677,19.8323,36.7879,63.2121,64.1824,35.8176,2.0100317001342773,2.9687626361846924,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,39,2
56.5918,43.4082,80.1677,19.8323,36.0688,63.9312,63.5625,36.4375,2.0100317001342773,3.019056558609009,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,39,2
56.5918,43.4082,80.1677,19.8323,35.7001,64.2999,63.2161,36.7839,2.0100317001342773,3.045135974884033,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,39,2
56.5918,43.4082,80.1677,19.8323,35.5948,64.4052,63.1047,36.8953,2.0100317001342773,3.052485466003418,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,39,2
56.5918,43.4082,80.1677,19.8323,35.4975,64.5025,63.0176,36.9824,2.0100317001342773,3.0590248107910156,28.59,224,0.875,bicubic,pgd,200,convnext_tiny,39,2
59.9242,40.0758,82.623,17.377,40.0028,59.9972,67.3629,32.6371,1.81973135471344,2.773242950439453,28.59,224,0.875,bicubic,pgd,1,convnext_tiny,49,0
59.9242,40.0758,82.623,17.377,39.1176,60.8824,66.6842,33.3158,1.81973135471344,2.8276584148406982,28.59,224,0.875,bicubic,pgd,2,convnext_tiny,49,0
59.9242,40.0758,82.623,17.377,38.597,61.403,66.3216,33.6784,1.81973135471344,2.855894088745117,28.59,224,0.875,bicubic,pgd,5,convnext_tiny,49,0
59.9242,40.0758,82.623,17.377,38.4997,61.5003,66.2365,33.7635,1.81973135471344,2.863866090774536,28.59,224,0.875,bicubic,pgd,10,convnext_tiny,49,0
