point,seed,steps,loss
0,0,1,3.4050891
1,0,1,0.40198255
2,0,1,1.1541717
3,0,1,2.861897
4,0,1,3.0269382
5,0,1,1.4470817
6,0,1,0.09076887
7,0,1,4.0638084
8,0,1,0.083482
9,0,1,4.146429
10,0,1,1.6606047
11,0,1,3.1719627
12,0,1,2.4250617
13,0,1,2.5812957
14,0,1,0.52382654
15,0,1,2.560427
16,0,1,3.451002
17,0,1,2.6863441
18,0,1,5.489803
19,0,1,0.7601686
20,0,1,0.6827307
21,0,1,5.6774664
22,0,1,0.12129549
23,0,1,1.1209501
24,0,1,2.5467255
25,0,1,7.566192
26,0,1,1.1613593
27,0,1,1.9644382
28,0,1,1.5716978
29,0,1,2.669908
30,0,1,2.3904858
31,0,1,6.2273006
0,0,2,3.6075141
1,0,2,0.4686112
2,0,2,1.1816188
3,0,2,3.0972686
4,0,2,3.2014127
5,0,2,1.5288346
6,0,2,0.0922845
7,0,2,4.2472754
8,0,2,0.0878466
9,0,2,4.2501364
10,0,2,1.7575794
11,0,2,3.426975
12,0,2,2.5968676
13,0,2,2.7710645
14,0,2,0.6137265
15,0,2,2.7834198
16,0,2,3.6417067
17,0,2,2.7812846
18,0,2,5.650326
19,0,2,0.8800944
20,0,2,0.7914507
21,0,2,5.889101
22,0,2,0.12992738
23,0,2,1.2510977
24,0,2,2.595639
25,0,2,7.6913633
26,0,2,1.3148726
27,0,2,2.1068306
28,0,2,1.6644784
29,0,2,2.7497227
30,0,2,2.498375
31,0,2,6.4529963
0,0,5,4.0830364
1,0,5,0.6623163
2,0,5,1.2497367
3,0,5,3.668491
4,0,5,3.6270022
5,0,5,1.7504452
6,0,5,0.09626084
7,0,5,4.716653
8,0,5,0.10200812
9,0,5,4.5096903
10,0,5,2.0518289
11,0,5,4.059986
12,0,5,3.0172155
13,0,5,3.28207
14,0,5,0.92479664
15,0,5,3.3756263
16,0,5,4.1146107
17,0,5,2.9981728
18,0,5,6.052951
19,0,5,1.251467
20,0,5,1.1201091
21,0,5,6.4059772
22,0,5,0.16508527
23,0,5,1.6470996
24,0,5,2.709465
25,0,5,8.000113
26,0,5,1.7632011
27,0,5,2.5103302
28,0,5,1.9271811
29,0,5,2.9166327
30,0,5,2.7236524
31,0,5,6.96601
0,0,10,4.5752525
1,0,10,0.9241059
2,0,10,1.3180792
3,0,10,4.2454453
4,0,10,4.1000156
5,0,10,1.9790651
6,0,10,0.10412669
7,0,10,5.1766586
8,0,10,0.12381148
9,0,10,4.7641673
10,0,10,2.3668485
11,0,10,4.6845436
12,0,10,3.4089484
13,0,10,3.8709414
14,0,10,1.3640547
15,0,10,3.9999812
16,0,10,4.557132
17,0,10,3.2204137
18,0,10,6.463546
19,0,10,1.7062627
20,0,10,1.528833
21,0,10,6.876348
22,0,10,0.2389459
23,0,10,2.1811767
24,0,10,2.8356848
25,0,10,8.317352
26,0,10,2.2731302
27,0,10,3.0016763
28,0,10,2.2211308
29,0,10,3.0810728
30,0,10,2.9640684
31,0,10,7.458373
0,0,50,4.728774
1,0,50,0.9996988
2,0,50,1.3348719
3,0,50,4.323729
4,0,50,4.2107673
5,0,50,2.054635
6,0,50,0.10507635
7,0,50,5.309795
8,0,50,0.13720378
9,0,50,4.826091
10,0,50,2.4457293
11,0,50,4.806073
12,0,50,3.483501
13,0,50,4.043274
14,0,50,1.5426357
15,0,50,4.1666303
16,0,50,4.654498
17,0,50,3.2898068
18,0,50,6.57329
19,0,50,1.8763783
20,0,50,1.6572824
21,0,50,7.029907
22,0,50,0.35300958
23,0,50,2.6291535
24,0,50,2.8776326
25,0,50,8.380374
26,0,50,2.418552
27,0,50,3.1464808
28,0,50,2.2990458
29,0,50,3.114398
30,0,50,3.0169783
31,0,50,7.561785
0,0,100,4.726861
1,0,100,0.9987588
2,0,100,1.333971
3,0,100,4.328717
4,0,100,4.211898
5,0,100,2.0554185
6,0,100,0.10438718
7,0,100,5.310981
8,0,100,0.1368622
9,0,100,4.8266244
10,0,100,2.440765
11,0,100,4.808062
12,0,100,3.4873307
13,0,100,4.041901
14,0,100,1.5420012
15,0,100,4.1677637
16,0,100,4.651265
17,0,100,3.29033
18,0,100,6.5779123
19,0,100,1.8785737
20,0,100,1.6625532
21,0,100,7.032066
22,0,100,0.35519975
23,0,100,2.6324332
24,0,100,2.8781712
25,0,100,8.384485
26,0,100,2.4188538
27,0,100,3.1451292
28,0,100,2.2958143
29,0,100,3.115624
30,0,100,3.0168295
31,0,100,7.5696316
0,0,200,4.729067
1,0,200,0.9983093
2,0,200,1.3334702
3,0,200,4.322447
4,0,200,4.2169237
5,0,200,2.0524356
6,0,200,0.10479068
7,0,200,5.314289
8,0,200,0.1367835
9,0,200,4.8273225
10,0,200,2.440342
11,0,200,4.8058014
12,0,200,3.493917
13,0,200,4.038039
14,0,200,1.5456207
15,0,200,4.164132
16,0,200,4.651402
17,0,200,3.2888238
18,0,200,6.5783024
19,0,200,1.8798189
20,0,200,1.6624858
21,0,200,7.0316615
22,0,200,0.35617957
23,0,200,2.6345346
24,0,200,2.8818226
25,0,200,8.382227
26,0,200,2.4157257
27,0,200,3.1482255
28,0,200,2.293503
29,0,200,3.1149333
30,0,200,3.0162022
31,0,200,7.566501
0,0,500,4.7287498
1,0,500,0.9996231
2,0,500,1.3340764
3,0,500,4.3235826
4,0,500,4.2135324
5,0,500,2.0522118
6,0,500,0.10503167
7,0,500,5.3175917
8,0,500,0.13622044
9,0,500,4.8264456
10,0,500,2.4432344
11,0,500,4.8005466
12,0,500,3.49099
13,0,500,4.0399027
14,0,500,1.5454811
15,0,500,4.1659594
16,0,500,4.652043
17,0,500,3.2929015
18,0,500,6.575122
19,0,500,1.8826455
20,0,500,1.6622323
21,0,500,7.032098
22,0,500,0.35506338
23,0,500,2.6365788
24,0,500,2.879781
25,0,500,8.382267
26,0,500,2.4172053
27,0,500,3.1472926
28,0,500,2.293454
29,0,500,3.1191523
30,0,500,3.0178792
31,0,500,7.564966
0,1,1,3.3897204
1,1,1,0.408705
2,1,1,1.1597186
3,1,1,2.8624008
4,1,1,3.033881
5,1,1,1.4389474
6,1,1,0.09036088
7,1,1,4.053394
8,1,1,0.08322246
9,1,1,4.1498556
10,1,1,1.6397551
11,1,1,3.1543326
12,1,1,2.4237661
13,1,1,2.579193
14,1,1,0.52110744
15,1,1,2.5675743
16,1,1,3.4527974
17,1,1,2.688643
18,1,1,5.48967
19,1,1,0.76830906
20,1,1,0.68078965
21,1,1,5.6847453
22,1,1,0.12144708
23,1,1,1.1127559
24,1,1,2.5459752
25,1,1,7.571275
26,1,1,1.1510159
27,1,1,1.9829208
28,1,1,1.561494
29,1,1,2.6741114
30,1,1,2.4066138
31,1,1,6.2437506
0,1,2,3.6004071
1,1,2,0.46805435
2,1,2,1.1813005
3,1,2,3.1001987
4,1,2,3.2009354
5,1,2,1.5240788
6,1,2,0.09149802
7,1,2,4.2506466
8,1,2,0.0881458
9,1,2,4.246456
10,1,2,1.7738428
11,1,2,3.4067414
12,1,2,2.5856986
13,1,2,2.7782388
14,1,2,0.6225333
15,1,2,2.7763283
16,1,2,3.6310706
17,1,2,2.7735991
18,1,2,5.653499
19,1,2,0.8828906
20,1,2,0.7930041
21,1,2,5.887618
22,1,2,0.13094765
23,1,2,1.2557275
24,1,2,2.5890958
25,1,2,7.680528
26,1,2,1.3111279
27,1,2,2.114939
28,1,2,1.6594177
29,1,2,2.742814
30,1,2,2.4863052
31,1,2,6.4573298
0,1,5,4.0824614
1,1,5,0.6616904
2,1,5,1.251493
3,1,5,3.6757917
4,1,5,3.6236665
5,1,5,1.751383
6,1,5,0.09720345
7,1,5,4.708822
8,1,5,0.100723974
9,1,5,4.505592
10,1,5,2.0499759
11,1,5,4.0508213
12,1,5,3.0151217
13,1,5,3.294309
14,1,5,0.92308515
15,1,5,3.3742213
16,1,5,4.1113243
17,1,5,2.9984052
18,1,5,6.0673437
19,1,5,1.2502254
20,1,5,1.1247923
21,1,5,6.4085217
22,1,5,0.16609758
23,1,5,1.630556
24,1,5,2.7090602
25,1,5,7.9992466
26,1,5,1.7696002
27,1,5,2.5109065
28,1,5,1.9234436
29,1,5,2.919774
30,1,5,2.7371643
31,1,5,6.9819117
0,1,10,4.57349
1,1,10,0.92133206
2,1,10,1.3179203
3,1,10,4.2380557
4,1,10,4.0972695
5,1,10,1.9811031
6,1,10,0.10358145
7,1,10,5.1803484
8,1,10,0.12342513
9,1,10,4.76422
10,1,10,2.3645403
11,1,10,4.694888
12,1,10,3.4089372
13,1,10,3.872593
14,1,10,1.3578436
15,1,10,4.006825
16,1,10,4.5597878
17,1,10,3.221848
18,1,10,6.466604
19,1,10,1.7084688
20,1,10,1.5293254
21,1,10,6.879656
22,1,10,0.24046628
23,1,10,2.1784043
24,1,10,2.83535
25,1,10,8.316182
26,1,10,2.2716408
27,1,10,2.9961305
28,1,10,2.2248363
29,1,10,3.0802052
30,1,10,2.9643276
31,1,10,7.4667487
0,1,50,4.727543
1,1,50,1.0003209
2,1,50,1.3339183
3,1,50,4.327703
4,1,50,4.2157
5,1,50,2.0528588
6,1,50,0.104818515
7,1,50,5.3077736
8,1,50,0.13720472
9,1,50,4.8272347
10,1,50,2.4467604
11,1,50,4.805773
12,1,50,3.484311
13,1,50,4.044538
14,1,50,1.5427073
15,1,50,4.172157
16,1,50,4.6543956
17,1,50,3.2894135
18,1,50,6.574658
19,1,50,1.8775884
20,1,50,1.6568921
21,1,50,7.032345
22,1,50,0.35261118
23,1,50,2.6283996
24,1,50,2.8791282
25,1,50,8.382199
26,1,50,2.416227
27,1,50,3.1456072
28,1,50,2.2979183
29,1,50,3.1138427
30,1,50,3.0187593
31,1,50,7.5669518
0,1,100,4.726695
1,1,100,0.99876523
2,1,100,1.3339924
3,1,100,4.3231664
4,1,100,4.209297
5,1,100,2.054348
6,1,100,0.10471636
7,1,100,5.3116493
8,1,100,0.1366402
9,1,100,4.8273497
10,1,100,2.4426177
11,1,100,4.8065367
12,1,100,3.4926631
13,1,100,4.03944
14,1,100,1.5408466
15,1,100,4.1625905
16,1,100,4.651718
17,1,100,3.2904058
18,1,100,6.578138
19,1,100,1.8821325
20,1,100,1.6604111
21,1,100,7.030948
22,1,100,0.35574782
23,1,100,2.6417856
24,1,100,2.880981
25,1,100,8.38312
26,1,100,2.4166348
27,1,100,3.1478157
28,1,100,2.2933815
29,1,100,3.1186714
30,1,100,3.0166037
31,1,100,7.5652037
0,1,200,4.7311406
1,1,200,0.9995474
2,1,200,1.3349822
3,1,200,4.327653
4,1,200,4.2144146
5,1,200,2.0577242
6,1,200,0.104136094
7,1,200,5.316145
8,1,200,0.13703737
9,1,200,4.8281736
10,1,200,2.4424558
11,1,200,4.8076096
12,1,200,3.496632
13,1,200,4.0390964
14,1,200,1.545705
15,1,200,4.164447
16,1,200,4.654688
17,1,200,3.289858
18,1,200,6.578595
19,1,200,1.883269
20,1,200,1.6617024
21,1,200,7.034476
22,1,200,0.35502246
23,1,200,2.6316087
24,1,200,2.8792722
25,1,200,8.382997
26,1,200,2.4167895
27,1,200,3.1454492
28,1,200,2.2974064
29,1,200,3.118154
30,1,200,3.0165863
31,1,200,7.5671787
0,1,500,4.72921
1,1,500,0.99831444
2,1,500,1.333451
3,1,500,4.326448
4,1,500,4.2154317
5,1,500,2.0560586
6,1,500,0.10444576
7,1,500,5.312658
8,1,500,0.13656053
9,1,500,4.8246403
10,1,500,2.4427462
11,1,500,4.8072014
12,1,500,3.4904406
13,1,500,4.0399847
14,1,500,1.5432684
15,1,500,4.1654406
16,1,500,4.652109
17,1,500,3.290575
18,1,500,6.578527
19,1,500,1.8829352
20,1,500,1.6629858
21,1,500,7.033031
22,1,500,0.35484686
23,1,500,2.6369264
24,1,500,2.8793502
25,1,500,8.385041
26,1,500,2.4146838
27,1,500,3.1476471
28,1,500,2.2978206
29,1,500,3.1170707
30,1,500,3.0172405
31,1,500,7.5636387
0,2,1,3.3978424
1,2,1,0.40590912
2,2,1,1.1560631
3,2,1,2.8670094
4,2,1,3.0330663
5,2,1,1.4473227
6,2,1,0.09098605
7,2,1,4.076133
8,2,1,0.083270095
9,2,1,4.1482415
10,2,1,1.647697
11,2,1,3.1791432
12,2,1,2.424411
13,2,1,2.5891292
14,2,1,0.5238323
15,2,1,2.5550704
16,2,1,3.4647799
17,2,1,2.6891148
18,2,1,5.487998
19,2,1,0.7615534
20,2,1,0.68564785
21,2,1,5.676554
22,2,1,0.12117948
23,2,1,1.1122813
24,2,1,2.546847
25,2,1,7.5629544
26,2,1,1.1619157
27,2,1,1.9707724
28,2,1,1.5721544
29,2,1,2.675483
30,2,1,2.40551
31,2,1,6.2340875
0,2,2,3.5919988
1,2,2,0.46974987
2,2,2,1.1803778
3,2,2,3.0842235
4,2,2,3.1948392
5,2,2,1.533474
6,2,2,0.09253276
7,2,2,4.2468185
8,2,2,0.087838225
9,2,2,4.257565
10,2,2,1.7626599
11,2,2,3.404193
12,2,2,2.600662
13,2,2,2.7824316
14,2,2,0.6257758
15,2,2,2.781006
16,2,2,3.6552472
17,2,2,2.7797503
18,2,2,5.660427
19,2,2,0.88523483
20,2,2,0.78672016
21,2,2,5.895808
22,2,2,0.12882917
23,2,2,1.2468412
24,2,2,2.5895436
25,2,2,7.6956844
26,2,2,1.3110943
27,2,2,2.1156688
28,2,2,1.6639984
29,2,2,2.7491443
30,2,2,2.4885163
31,2,2,6.4367
0,2,5,4.07433
1,2,5,0.6591376
2,2,5,1.2472411
3,2,5,3.675415
4,2,5,3.6203036
5,2,5,1.7468826
6,2,5,0.096837185
7,2,5,4.705368
8,2,5,0.10173301
9,2,5,4.504674
10,2,5,2.0512247
11,2,5,4.0516977
12,2,5,3.0182214
13,2,5,3.2981157
14,2,5,0.9350224
15,2,5,3.3654594
16,2,5,4.114165
17,2,5,2.9966354
18,2,5,6.0559473
19,2,5,1.2545764
20,2,5,1.1247989
21,2,5,6.407641
22,2,5,0.16348882
23,2,5,1.6413679
24,2,5,2.7089567
25,2,5,8.000221
26,2,5,1.7724726
27,2,5,2.514716
28,2,5,1.9299448
29,2,5,2.9197145
30,2,5,2.733028
31,2,5,6.9858303
0,2,10,4.576558
1,2,10,0.923264
2,2,10,1.3183404
3,2,10,4.2373734
4,2,10,4.1012373
5,2,10,1.9812926
6,2,10,0.10324553
7,2,10,5.177103
8,2,10,0.12372862
9,2,10,4.763407
10,2,10,2.3698714
11,2,10,4.691843
12,2,10,3.4110487
13,2,10,3.8749013
14,2,10,1.3619246
15,2,10,4.0026217
16,2,10,4.555726
17,2,10,3.2219038
18,2,10,6.463877
19,2,10,1.7075585
20,2,10,1.5259384
21,2,10,6.8812885
22,2,10,0.24096377
23,2,10,2.1802928
24,2,10,2.8340178
25,2,10,8.316969
26,2,10,2.2805684
27,2,10,3.0011728
28,2,10,2.2208626
29,2,10,3.079884
30,2,10,2.9664097
31,2,10,7.4683213
0,2,50,4.726199
1,2,50,0.9993139
2,2,50,1.3351874
3,2,50,4.3291516
4,2,50,4.2129507
5,2,50,2.0535784
6,2,50,0.10505323
7,2,50,5.311262
8,2,50,0.13752298
9,2,50,4.8269773
10,2,50,2.4474082
11,2,50,4.809293
12,2,50,3.4834156
13,2,50,4.0460734
14,2,50,1.5448557
15,2,50,4.1669865
16,2,50,4.6569867
17,2,50,3.2887168
18,2,50,6.575937
19,2,50,1.877987
20,2,50,1.6584661
21,2,50,7.029806
22,2,50,0.35302866
23,2,50,2.627412
24,2,50,2.8789499
25,2,50,8.38461
26,2,50,2.424041
27,2,50,3.1468384
28,2,50,2.302073
29,2,50,3.110605
30,2,50,3.017291
31,2,50,7.55916
0,2,100,4.7294555
1,2,100,0.99803954
2,2,100,1.3339412
3,2,100,4.3270617
4,2,100,4.2180967
5,2,100,2.0526512
6,2,100,0.104351155
7,2,100,5.3104696
8,2,100,0.1368343
9,2,100,4.827567
10,2,100,2.44175
11,2,100,4.805542
12,2,100,3.4907115
13,2,100,4.0427876
14,2,100,1.5441612
15,2,100,4.1654563
16,2,100,4.6549606
17,2,100,3.2903116
18,2,100,6.5765514
19,2,100,1.8784086
20,2,100,1.6582962
21,2,100,7.032483
22,2,100,0.35452577
23,2,100,2.6309526
24,2,100,2.8809156
25,2,100,8.382
26,2,100,2.417203
27,2,100,3.1507647
28,2,100,2.2959034
29,2,100,3.116129
30,2,100,3.0191112
31,2,100,7.5660763
0,2,200,4.727309
1,2,200,0.9982137
2,2,200,1.3342268
3,2,200,4.3224754
4,2,200,4.219474
5,2,200,2.052968
6,2,200,0.10473089
7,2,200,5.314369
8,2,200,0.13687807
9,2,200,4.8255506
10,2,200,2.4433537
11,2,200,4.8068824
12,2,200,3.4902892
13,2,200,4.0356894
14,2,200,1.5430863
15,2,200,4.163428
16,2,200,4.6546082
17,2,200,3.2908497
18,2,200,6.57924
19,2,200,1.8801235
20,2,200,1.6631808
21,2,200,7.031955
22,2,200,0.3557483
23,2,200,2.6341178
24,2,200,2.8800063
25,2,200,8.382569
26,2,200,2.4138863
27,2,200,3.1461394
28,2,200,2.2983708
29,2,200,3.1161582
30,2,200,3.014917
31,2,200,7.5638227
0,2,500,4.7300854
1,2,500,0.99785566
2,2,500,1.3331577
3,2,500,4.324036
4,2,500,4.218049
5,2,500,2.0529113
6,2,500,0.10465575
7,2,500,5.3159986
8,2,500,0.13740276
9,2,500,4.826785
10,2,500,2.4393878
11,2,500,4.809004
12,2,500,3.4887612
13,2,500,4.0447664
14,2,500,1.5453498
15,2,500,4.1647887
16,2,500,4.654542
17,2,500,3.2907748
18,2,500,6.5791745
19,2,500,1.8817868
20,2,500,1.661738
21,2,500,7.030573
22,2,500,0.3551037
23,2,500,2.631934
24,2,500,2.878981
25,2,500,8.382883
26,2,500,2.4149976
27,2,500,3.1503286
28,2,500,2.2939522
29,2,500,3.1122248
30,2,500,3.0162792
31,2,500,7.5624814
0,3,1,3.3927717
1,3,1,0.4108182
2,3,1,1.1523503
3,3,1,2.876337
4,3,1,3.0284905
5,3,1,1.4436029
6,3,1,0.09159339
7,3,1,4.0697646
8,3,1,0.08311275
9,3,1,4.1433344
10,3,1,1.6539351
11,3,1,3.1747293
12,3,1,2.4130368
13,3,1,2.5859957
14,3,1,0.5224185
15,3,1,2.5651016
16,3,1,3.4655898
17,3,1,2.6877773
18,3,1,5.51151
19,3,1,0.76076555
20,3,1,0.6835586
21,3,1,5.6759024
22,3,1,0.12047382
23,3,1,1.1217339
24,3,1,2.5446184
25,3,1,7.56816
26,3,1,1.1619714
27,3,1,1.9656779
28,3,1,1.5688831
29,3,1,2.6749191
30,3,1,2.3951645
31,3,1,6.2231765
0,3,2,3.601753
1,3,2,0.4631296
2,3,2,1.187775
3,3,2,3.0972672
4,3,2,3.1945605
5,3,2,1.5306216
6,3,2,0.091656975
7,3,2,4.248254
8,3,2,0.08752551
9,3,2,4.2531147
10,3,2,1.7639469
11,3,2,3.4121337
12,3,2,2.5988557
13,3,2,2.7792704
14,3,2,0.61975855
15,3,2,2.7943523
16,3,2,3.6525164
17,3,2,2.7758896
18,3,2,5.6579175
19,3,2,0.8796248
20,3,2,0.794263
21,3,2,5.895502
22,3,2,0.12932232
23,3,2,1.2543528
24,3,2,2.5914636
25,3,2,7.6935863
26,3,2,1.320912
27,3,2,2.1072628
28,3,2,1.666865
29,3,2,2.740804
30,3,2,2.491936
31,3,2,6.4660296
0,3,5,4.082345
1,3,5,0.66544926
2,3,5,1.248405
3,3,5,3.688385
4,3,5,3.6169746
5,3,5,1.7480495
6,3,5,0.09663367
7,3,5,4.702508
8,3,5,0.1011894
9,3,5,4.5044885
10,3,5,2.0581846
11,3,5,4.04443
12,3,5,3.0127606
13,3,5,3.295576
14,3,5,0.9244969
15,3,5,3.358173
16,3,5,4.107825
17,3,5,2.992792
18,3,5,6.0542502
19,3,5,1.253494
20,3,5,1.1268021
21,3,5,6.3971405
22,3,5,0.163724
23,3,5,1.6484456
24,3,5,2.7079115
25,3,5,8.001362
26,3,5,1.764521
27,3,5,2.5111842
28,3,5,1.9311086
29,3,5,2.9157016
30,3,5,2.7277274
31,3,5,6.969391
0,3,10,4.5755787
1,3,10,0.92411464
2,3,10,1.3173128
3,3,10,4.242439
4,3,10,4.1024666
5,3,10,1.9807987
6,3,10,0.103879556
7,3,10,5.178008
8,3,10,0.12324207
9,3,10,4.765506
10,3,10,2.3646526
11,3,10,4.691372
12,3,10,3.4069228
13,3,10,3.87306
14,3,10,1.3598796
15,3,10,4.0010147
16,3,10,4.561659
17,3,10,3.22305
18,3,10,6.468265
19,3,10,1.7153509
20,3,10,1.5283637
21,3,10,6.87627
22,3,10,0.23788367
23,3,10,2.1750226
24,3,10,2.8365042
25,3,10,8.314836
26,3,10,2.271671
27,3,10,3.0048585
28,3,10,2.2263367
29,3,10,3.081918
30,3,10,2.9691749
31,3,10,7.4663906
0,3,50,4.7239695
1,3,50,0.9988167
2,3,50,1.3360211
3,3,50,4.323695
4,3,50,4.2142267
5,3,50,2.0535188
6,3,50,0.10494203
7,3,50,5.3099637
8,3,50,0.1374091
9,3,50,4.8264394
10,3,50,2.446512
11,3,50,4.8065944
12,3,50,3.4843268
13,3,50,4.0444045
14,3,50,1.5471002
15,3,50,4.166961
16,3,50,4.6537523
17,3,50,3.2870915
18,3,50,6.576089
19,3,50,1.876234
20,3,50,1.6592711
21,3,50,7.0321693
22,3,50,0.35316125
23,3,50,2.625914
24,3,50,2.878484
25,3,50,8.381971
26,3,50,2.4163935
27,3,50,3.1446443
28,3,50,2.2990766
29,3,50,3.115237
30,3,50,3.0162873
31,3,50,7.564106
0,3,100,4.72805
1,3,100,0.99880415
2,3,100,1.3336675
3,3,100,4.3277516
4,3,100,4.2116847
5,3,100,2.0534203
6,3,100,0.10487889
7,3,100,5.3152294
8,3,100,0.13712297
9,3,100,4.826178
10,3,100,2.4438574
11,3,100,4.80219
12,3,100,3.4915226
13,3,100,4.041224
14,3,100,1.5438434
15,3,100,4.1668396
16,3,100,4.6501412
17,3,100,3.290444
18,3,100,6.5743866
19,3,100,1.8788476
20,3,100,1.6587099
21,3,100,7.0319004
22,3,100,0.35564235
23,3,100,2.6362498
24,3,100,2.880271
25,3,100,8.382185
26,3,100,2.4204073
27,3,100,3.1461663
28,3,100,2.2930923
29,3,100,3.1162834
30,3,100,3.0170984
31,3,100,7.5659027
0,3,200,4.732259
1,3,200,0.9991646
2,3,200,1.3337064
3,3,200,4.3232994
4,3,200,4.2178717
5,3,200,2.0523562
6,3,200,0.1050034
7,3,200,5.313301
8,3,200,0.13698466
9,3,200,4.8253903
10,3,200,2.4413934
11,3,200,4.804278
12,3,200,3.496288
13,3,200,4.0422482
14,3,200,1.5434654
15,3,200,4.1672783
16,3,200,4.6511335
17,3,200,3.2900558
18,3,200,6.5778785
19,3,200,1.8802546
20,3,200,1.6632562
21,3,200,7.035453
22,3,200,0.35520312
23,3,200,2.6399333
24,3,200,2.8791437
25,3,200,8.384453
26,3,200,2.4157634
27,3,200,3.1482058
28,3,200,2.2961812
29,3,200,3.1190274
30,3,200,3.015253
31,3,200,7.566408
0,3,500,4.731002
1,3,500,0.9989093
2,3,500,1.3347445
3,3,500,4.3222847
4,3,500,4.216157
5,3,500,2.0511992
6,3,500,0.10504587
7,3,500,5.3149323
8,3,500,0.1373644
9,3,500,4.8272557
10,3,500,2.4417691
11,3,500,4.8062706
12,3,500,3.4913523
13,3,500,4.0379467
14,3,500,1.545413
15,3,500,4.1654863
16,3,500,4.649728
17,3,500,3.2894077
18,3,500,6.576466
19,3,500,1.880542
20,3,500,1.6625758
21,3,500,7.0319467
22,3,500,0.35596392
23,3,500,2.6350787
24,3,500,2.8809533
25,3,500,8.384117
26,3,500,2.4152706
27,3,500,3.1480796
28,3,500,2.2953198
29,3,500,3.1133463
30,3,500,3.017894
31,3,500,7.5660677
0,4,1,3.3916576
1,4,1,0.4038887
2,4,1,1.1584271
3,4,1,2.87467
4,4,1,3.0319905
5,4,1,1.4436662
6,4,1,0.09015585
7,4,1,4.0693493
8,4,1,0.08389075
9,4,1,4.15863
10,4,1,1.648654
11,4,1,3.172792
12,4,1,2.4370167
13,4,1,2.579316
14,4,1,0.53006643
15,4,1,2.549615
16,4,1,3.44852
17,4,1,2.6887944
18,4,1,5.4933743
