point,seed,steps,loss
0,0,1,0.28601074
1,0,1,0.36446413
2,0,1,1.3441956
3,0,1,0.26180574
4,0,1,2.068765
5,0,1,0.44830358
6,0,1,0.06790999
7,0,1,2.758962
8,0,1,0.28699976
9,0,1,4.4434013
10,0,1,0.1707098
11,0,1,1.4502177
12,0,1,0.6077234
13,0,1,0.4501659
14,0,1,0.07738656
15,0,1,1.2391685
16,0,1,2.8887682
17,0,1,2.6982017
18,0,1,2.5150197
19,0,1,0.005327864
20,0,1,0.11136919
21,0,1,4.194931
22,0,1,0.18021597
23,0,1,0.051449206
24,0,1,1.5054952
25,0,1,5.2501087
26,0,1,0.60613906
27,0,1,1.3486556
28,0,1,0.8630558
29,0,1,2.7768958
30,0,1,1.4278318
31,0,1,4.944086
0,0,2,0.32129213
1,0,2,0.41604787
2,0,2,1.4354606
3,0,2,0.3162675
4,0,2,2.2336695
5,0,2,0.53145075
6,0,2,0.07286383
7,0,2,3.0029757
8,0,2,0.316287
9,0,2,4.590146
10,0,2,0.18562233
11,0,2,1.5475198
12,0,2,0.7102808
13,0,2,0.5497794
14,0,2,0.086245
15,0,2,1.4647808
16,0,2,3.1246135
17,0,2,2.815634
18,0,2,2.8967106
19,0,2,0.0054242713
20,0,2,0.12330977
21,0,2,4.683023
22,0,2,0.19788767
23,0,2,0.054228537
24,0,2,1.5699265
25,0,2,5.4609704
26,0,2,0.7640979
27,0,2,1.4694796
28,0,2,0.9415159
29,0,2,2.8528006
30,0,2,1.6028632
31,0,2,5.180865
0,0,5,0.43163252
1,0,5,0.59150696
2,0,5,1.6330047
3,0,5,0.59994954
4,0,5,2.654844
5,0,5,0.76874745
6,0,5,0.09422809
7,0,5,3.5994751
8,0,5,0.4147226
9,0,5,4.9276342
10,0,5,0.22493039
11,0,5,1.8023552
12,0,5,1.0698649
13,0,5,0.8763719
14,0,5,0.12345083
15,0,5,2.1117082
16,0,5,3.7271771
17,0,5,3.1050966
18,0,5,3.718057
19,0,5,0.0055954754
20,0,5,0.16453578
21,0,5,5.880827
22,0,5,0.24946623
23,0,5,0.063710675
24,0,5,1.7332424
25,0,5,5.9321585
26,0,5,1.2957559
27,0,5,1.8682344
28,0,5,1.1913823
29,0,5,3.06216
30,0,5,2.111869
31,0,5,5.706932
0,0,10,0.6213744
1,0,10,0.82339793
2,0,10,1.8553742
3,0,10,1.1064749
4,0,10,3.1618147
5,0,10,1.0814328
6,0,10,0.15009333
7,0,10,4.1927204
8,0,10,0.5457791
9,0,10,5.2449017
10,0,10,0.29202715
11,0,10,2.0898354
12,0,10,1.6145191
13,0,10,1.3307719
14,0,10,0.19692385
15,0,10,2.854282
16,0,10,4.3476543
17,0,10,3.394803
18,0,10,4.4934435
19,0,10,0.0060034343
20,0,10,0.23840626
21,0,10,6.883715
22,0,10,0.34594774
23,0,10,0.07825561
24,0,10,1.9053887
25,0,10,6.3487573
26,0,10,1.960196
27,0,10,2.2970994
28,0,10,1.5018644
29,0,10,3.2815645
30,0,10,2.6429012
31,0,10,6.229109
0,0,50,0.7862775
1,0,50,0.90947235
2,0,50,1.8862973
3,0,50,1.3307595
4,0,50,3.354809
5,0,50,1.1870142
6,0,50,0.22417116
7,0,50,4.437509
8,0,50,0.6364161
9,0,50,5.3138247
10,0,50,0.32305795
11,0,50,2.1926246
12,0,50,1.7842981
13,0,50,1.4858865
14,0,50,0.27480552
15,0,50,3.1117873
16,0,50,4.5024376
17,0,50,3.4743109
