point,seed,steps,loss
0,0,1,1.9446995
1,0,1,0.5371853
2,0,1,2.1495273
3,0,1,1.2996503
4,0,1,2.923632
5,0,1,2.0941303
6,0,1,0.32446373
7,0,1,3.4401217
8,0,1,0.07705533
9,0,1,4.232939
10,0,1,0.34251052
11,0,1,2.7787807
12,0,1,0.87005496
13,0,1,1.4817276
14,0,1,0.16134058
15,0,1,0.84184223
16,0,1,2.6165318
17,0,1,3.2773104
18,0,1,4.1226664
19,0,1,0.21148391
20,0,1,0.6517727
21,0,1,4.403555
22,0,1,0.3185159
23,0,1,0.81396294
24,0,1,1.850091
25,0,1,6.826702
26,0,1,1.5070739
27,0,1,1.5691348
28,0,1,1.6678876
29,0,1,3.127345
30,0,1,2.602799
31,0,1,4.883545
0,0,2,2.1390245
1,0,2,0.6133799
2,0,2,2.2522619
3,0,2,1.5279537
4,0,2,3.0624576
5,0,2,2.1986513
6,0,2,0.3675281
7,0,2,3.603025
8,0,2,0.089750186
9,0,2,4.342854
10,0,2,0.38233298
11,0,2,2.9793565
12,0,2,1.0189196
13,0,2,1.6285559
14,0,2,0.17853859
15,0,2,1.0134809
16,0,2,2.866048
17,0,2,3.3811522
18,0,2,4.3641367
19,0,2,0.2524091
20,0,2,0.7992439
21,0,2,4.6478977
22,0,2,0.35519376
23,0,2,0.90557736
24,0,2,1.879304
25,0,2,6.968878
26,0,2,1.724181
27,0,2,1.6974392
28,0,2,1.8060915
29,0,2,3.2361977
30,0,2,2.807528
31,0,2,5.19984
0,0,5,2.6962426
1,0,5,0.8399881
2,0,5,2.5108461
3,0,5,2.1835625
4,0,5,3.42499
5,0,5,2.4600232
6,0,5,0.5064915
7,0,5,4.028942
8,0,5,0.13753219
9,0,5,4.614055
10,0,5,0.5113393
11,0,5,3.6081064
12,0,5,1.4346081
13,0,5,2.003306
14,0,5,0.2422124
15,0,5,1.6151932
16,0,5,3.5403502
17,0,5,3.6410916
18,0,5,4.931687
19,0,5,0.41134328
20,0,5,1.2725946
21,0,5,5.2654066
22,0,5,0.47130963
23,0,5,1.1709707
24,0,5,1.9493511
25,0,5,7.3581953
26,0,5,2.357675
27,0,5,2.1035626
28,0,5,2.1597233
29,0,5,3.5010526
30,0,5,3.3337188
31,0,5,5.936056
0,0,10,3.343609
1,0,10,1.1261533
2,0,10,2.787088
3,0,10,2.964565
4,0,10,3.8135977
5,0,10,2.735802
6,0,10,0.71394664
7,0,10,4.5058794
8,0,10,0.21338637
9,0,10,4.8872595
10,0,10,0.70200783
11,0,10,4.325706
12,0,10,1.9924839
13,0,10,2.396885
14,0,10,0.36254218
15,0,10,2.7046838
16,0,10,4.2188034
17,0,10,3.9204938
18,0,10,5.4988084
19,0,10,0.6604205
20,0,10,1.8788606
21,0,10,5.9312925
22,0,10,0.6622295
23,0,10,1.4720784
24,0,10,2.0252292
25,0,10,7.7444196
26,0,10,3.051335
27,0,10,2.7096558
28,0,10,2.525548
29,0,10,3.7842083
30,0,10,3.86445
31,0,10,6.5812006
0,0,50,3.5697272
1,0,50,1.2011538
2,0,50,2.8574374
3,0,50,3.3673787
4,0,50,3.9274275
5,0,50,2.7922277
6,0,50,0.8553912
7,0,50,4.661668
8,0,50,0.2555393
9,0,50,4.9339805
10,0,50,0.7733837
11,0,50,4.4993973
12,0,50,2.1698751
13,0,50,2.5332155
14,0,50,0.44211972
15,0,50,3.4190912
16,0,50,4.374846
17,0,50,3.9886956
18,0,50,5.6414084
19,0,50,0.7948879
20,0,50,2.0465393
21,0,50,6.1408825
22,0,50,0.8275702
23,0,50,1.5788159
24,0,50,2.0410347
25,0,50,7.8422537
26,0,50,3.2423356
27,0,50,3.07492
28,0,50,2.598329
29,0,50,3.8422365
30,0,50,3.992559
31,0,50,6.6762753
0,0,100,3.5802014
1,0,100,1.200622
2,0,100,2.8589962
3,0,100,3.3843474
4,0,100,3.9356742
5,0,100,2.7950015
6,0,100,0.85716087
7,0,100,4.662616
8,0,100,0.2536765
9,0,100,4.932674
10,0,100,0.77241236
11,0,100,4.492896
12,0,100,2.1657577
13,0,100,2.5410695
14,0,100,0.42502013
15,0,100,3.4375923
16,0,100,4.372797
17,0,100,3.9923487
18,0,100,5.6458936
19,0,100,0.7951351
20,0,100,2.052843
21,0,100,6.141582
22,0,100,0.8331687
23,0,100,1.5782927
24,0,100,2.0388927
25,0,100,7.8482914
26,0,100,3.2430894
27,0,100,3.0772085
28,0,100,2.6008036
29,0,100,3.843514
30,0,100,3.9952664
31,0,100,6.672247
0,0,200,3.5819416
1,0,200,1.2031246
2,0,200,2.854466
3,0,200,3.3862772
4,0,200,3.9338133
5,0,200,2.7932255
6,0,200,0.8577251
7,0,200,4.6629844
8,0,200,0.2546104
9,0,200,4.933902
10,0,200,0.7752603
11,0,200,4.495314
12,0,200,2.1637824
13,0,200,2.5466375
14,0,200,0.41203567
15,0,200,3.4366684
16,0,200,4.371807
17,0,200,3.9931211
18,0,200,5.645999
19,0,200,0.79529023
20,0,200,2.0613966
21,0,200,6.142165
22,0,200,0.8308465
23,0,200,1.575817
24,0,200,2.0382504
25,0,200,7.8455286
26,0,200,3.246776
27,0,200,3.0754778
28,0,200,2.598479
29,0,200,3.8377564
30,0,200,3.9874637
31,0,200,6.6738057
0,0,500,3.5839012
1,0,500,1.2034748
2,0,500,2.8543582
3,0,500,3.385902
4,0,500,3.9334638
5,0,500,2.7976556
6,0,500,0.85862863
7,0,500,4.6637087
8,0,500,0.25311473
9,0,500,4.9335136
10,0,500,0.77210766
11,0,500,4.4985533
12,0,500,2.1644013
13,0,500,2.5476222
14,0,500,0.40913257
15,0,500,3.4404662
16,0,500,4.3707156
17,0,500,3.992289
18,0,500,5.6486063
19,0,500,0.7951972
20,0,500,2.0569816
21,0,500,6.1405883
22,0,500,0.8323706
23,0,500,1.5762714
24,0,500,2.0372834
25,0,500,7.847278
26,0,500,3.2502053
27,0,500,3.0766816
28,0,500,2.60109
29,0,500,3.8425603
30,0,500,3.9909747
