point,seed,steps,loss
0,0,0,0.13893354
1,0,0,0.22884066
3,0,0,0.06981328
4,0,0,0.03237301
5,0,0,0.29248974
6,0,0,0.10571766
7,0,0,0.050139338
8,0,0,0.108230695
9,0,0,0.11569995
11,0,0,0.1143153
12,0,0,0.07089428
13,0,0,0.21210589
14,0,0,0.053264406
15,0,0,0.109289356
16,0,0,0.052967783
17,0,0,0.073965326
18,0,0,0.07094603
19,0,0,0.06936183
20,0,0,0.06892619
21,0,0,0.2603594
22,0,0,0.12695399
23,0,0,0.1503096
24,0,0,0.06667022
25,0,0,0.10342192
26,0,0,0.17407867
27,0,0,2.004256
28,0,0,0.13457668
30,0,0,0.045405436
31,0,0,0.1579667
32,0,0,0.9512283
33,0,0,0.051359806
34,0,0,0.19449535
0,0,1,0.2542611
1,0,1,0.286097
3,0,1,0.078147836
4,0,1,0.036215875
5,0,1,0.48313463
6,0,1,0.11549595
7,0,1,0.05657611
8,0,1,0.121949956
9,0,1,0.12351627
11,0,1,0.12065783
12,0,1,0.07737613
13,0,1,0.2478945
14,0,1,0.058401436
15,0,1,0.123731814
16,0,1,0.059750337
17,0,1,0.08106482
18,0,1,0.07545195
19,0,1,0.07332788
20,0,1,0.07904397
21,0,1,0.3244497
22,0,1,0.15176785
23,0,1,0.1732606
24,0,1,0.0706185
25,0,1,0.11295971
26,0,1,0.20297405
27,0,1,2.4503403
28,0,1,0.14556856
30,0,1,0.050405066
31,0,1,0.18328395
32,0,1,1.1351978
33,0,1,0.057012882
34,0,1,0.2396997
0,0,2,0.46125343
1,0,2,0.35694462
3,0,2,0.08650402
4,0,2,0.040185004
5,0,2,0.7968481
6,0,2,0.12567462
7,0,2,0.06343882
8,0,2,0.13776644
9,0,2,0.1313071
11,0,2,0.12678933
12,0,2,0.08396433
13,0,2,0.29027733
14,0,2,0.06351703
15,0,2,0.13908593
16,0,2,0.06698354
17,0,2,0.088749446
18,0,2,0.079460576
19,0,2,0.07717618
20,0,2,0.0908897
21,0,2,0.39633697
22,0,2,0.1800447
23,0,2,0.20048018
24,0,2,0.07422635
25,0,2,0.12251824
26,0,2,0.23464023
27,0,2,2.9002514
28,0,2,0.15643206
30,0,2,0.055531282
31,0,2,0.21180016
32,0,2,1.3226115
33,0,2,0.06312427
34,0,2,0.2920655
0,0,5,1.7181541
1,0,5,0.66715485
3,0,5,0.11059677
4,0,5,0.052412055
5,0,5,2.4486647
6,0,5,0.15787499
7,0,5,0.08638364
8,0,5,0.19915697
9,0,5,0.15392041
11,0,5,0.1435613
12,0,5,0.10383655
13,0,5,0.45525646
14,0,5,0.07805478
15,0,5,0.18904105
16,0,5,0.090449624
17,0,5,0.11566066
18,0,5,0.08883235
19,0,5,0.08775944
20,0,5,0.1387747
21,0,5,0.63694143
22,0,5,0.28269804
23,0,5,0.3072367
24,0,5,0.08321027
25,0,5,0.15066752
26,0,5,0.34094253
27,0,5,4.1003017
28,0,5,0.18753096
30,0,5,0.07095358
31,0,5,0.31299782
32,0,5,1.8639063
33,0,5,0.084791094
34,0,5,0.48191777
0,0,10,3.7610457
1,0,10,1.3995453
3,0,10,0.14073959
4,0,10,0.06992356
5,0,10,4.841983
6,0,10,0.20430194
7,0,10,0.12509876
8,0,10,0.32462806
9,0,10,0.18290645
11,0,10,0.16335265
12,0,10,0.13164492
13,0,10,0.7508302
14,0,10,0.09657508
15,0,10,0.2669607
16,0,10,0.12597452
17,0,10,0.16442284
18,0,10,0.09845941
19,0,10,0.09983036
20,0,10,0.24694686
21,0,10,0.9707699
22,0,10,0.45901316
23,0,10,0.50133586
24,0,10,0.09269165
25,0,10,0.18782265
26,0,10,0.5009556
27,0,10,5.265759
28,0,10,0.2286803
30,0,10,0.09217834
31,0,10,0.48225564
32,0,10,2.5153632
33,0,10,0.13063468
34,0,10,0.7792219
0,0,50,4.3825994
1,0,50,1.9413234
3,0,50,0.15162209
4,0,50,0.07616725
5,0,50,5.7386284
6,0,50,0.22177103
7,0,50,0.14732625
8,0,50,0.38744003
9,0,50,0.19238432
11,0,50,0.16935816
12,0,50,0.14568965
13,0,50,0.85692006
14,0,50,0.10352016
15,0,50,0.31022653
16,0,50,0.13995378
17,0,50,0.1967647
18,0,50,0.1021928
19,0,50,0.10312765
20,0,50,0.30331606
21,0,50,1.0669487
22,0,50,0.53063726
23,0,50,0.571787
24,0,50,0.095920905
25,0,50,0.19940984
26,0,50,0.552979
27,0,50,5.545883
28,0,50,0.25457925
30,0,50,0.10083241
31,0,50,1.0642405
32,0,50,2.7915936
33,0,50,0.17310832
34,0,50,0.8661947
0,0,100,4.383282
1,0,100,1.9582353
3,0,100,0.1516434
4,0,100,0.07617035
5,0,100,5.740149
6,0,100,0.22183196
7,0,100,0.14742933
8,0,100,0.38763294
9,0,100,0.19239101
11,0,100,0.16936974
12,0,100,0.14606209
13,0,100,0.85695255
14,0,100,0.103524245
15,0,100,0.3104326
16,0,100,0.13997254
17,0,100,0.19687182
18,0,100,0.10220722
19,0,100,0.10313819
20,0,100,0.30332723
21,0,100,1.06702
22,0,100,0.53068495
23,0,100,0.5717978
24,0,100,0.09594701
25,0,100,0.19941325
26,0,100,0.5530063
27,0,100,5.5460625
28,0,100,0.25685924
30,0,100,0.10084739
31,0,100,1.0788168
32,0,100,3.042015
33,0,100,0.17330933
34,0,100,0.86627054
0,0,200,4.3833613
1,0,200,1.963536
3,0,200,0.151643
4,0,200,0.07617035
5,0,200,5.740177
6,0,200,0.22183205
7,0,200,0.1474354
8,0,200,0.38763827
9,0,200,0.19239101
11,0,200,0.16936994
12,0,200,0.14608228
13,0,200,0.85695255
14,0,200,0.103524245
15,0,200,0.31044748
16,0,200,0.13997275
17,0,200,0.19687122
18,0,200,0.10220754
19,0,200,0.10313819
20,0,200,0.30332723
21,0,200,1.0670203
22,0,200,0.53068495
23,0,200,0.5717977
24,0,200,0.09594766
25,0,200,0.19941325
26,0,200,0.5530063
27,0,200,5.54606
28,0,200,0.25844356
30,0,200,0.100848794
31,0,200,1.0788835
32,0,200,3.0736163
33,0,200,0.17331333
34,0,200,0.86627436
0,0,500,4.3833613
1,0,500,1.9637312
3,0,500,0.151643
4,0,500,0.07617001
5,0,500,5.740177
6,0,500,0.22183205
7,0,500,0.1474354
8,0,500,0.38763827
9,0,500,0.19239101
11,0,500,0.16936994
12,0,500,0.14608228
13,0,500,0.85695255
14,0,500,0.103524245
15,0,500,0.31044748
16,0,500,0.13997254
17,0,500,0.19687122
18,0,500,0.10220754
19,0,500,0.10313873
20,0,500,0.30332723
21,0,500,1.0670209
22,0,500,0.53068495
23,0,500,0.5717977
24,0,500,0.09594766
25,0,500,0.19941325
26,0,500,0.5530063
27,0,500,5.5460587
28,0,500,0.2585832
30,0,500,0.100848794
31,0,500,1.0788857
32,0,500,3.0739057
33,0,500,0.17331363
34,0,500,0.86627436
0,1,0,0.13590685
1,1,0,0.22831243
3,1,0,0.06915315
4,1,0,0.03239413
5,1,0,0.29637578
6,1,0,0.10597438
7,1,0,0.050096594
8,1,0,0.108484104
9,1,0,0.115302205
11,1,0,0.114172906
12,1,0,0.07094491
13,1,0,0.21113902
14,1,0,0.05333674
15,1,0,0.10994338
16,1,0,0.053194217
17,1,0,0.073863246
18,1,0,0.071057506
19,1,0,0.0695143
20,1,0,0.06937551
21,1,0,0.25529143
22,1,0,0.12658748
23,1,0,0.15279627
24,1,0,0.06650293
25,1,0,0.103213996
26,1,0,0.17267881
27,1,0,1.9895828
28,1,0,0.13377184
30,1,0,0.045356452
31,1,0,0.15785626
32,1,0,0.95599055
33,1,0,0.051259015
34,1,0,0.19510402
0,1,1,0.24717936
1,1,1,0.28531402
3,1,1,0.077445745
4,1,1,0.036240593
5,1,1,0.4923064
6,1,1,0.11581409
7,1,1,0.056539163
8,1,1,0.122322805
9,1,1,0.12310592
11,1,1,0.12049447
12,1,1,0.07743262
13,1,1,0.24678928
14,1,1,0.058492064
15,1,1,0.12436646
16,1,1,0.05998523
17,1,1,0.080919154
18,1,1,0.07554104
19,1,1,0.07346801
20,1,1,0.07961878
21,1,1,0.31851944
22,1,1,0.15128152
23,1,1,0.17643993
24,1,1,0.07045964
25,1,1,0.11283502
26,1,1,0.20130368
27,1,1,2.430942
28,1,1,0.14467824
30,1,1,0.05035576
31,1,1,0.18322062
32,1,1,1.1399816
33,1,1,0.056923132
34,1,1,0.24038516
0,1,2,0.44672608
1,1,2,0.3556529
3,1,2,0.085803516
4,1,2,0.040219817
5,1,2,0.8126503
6,1,2,0.12607919
7,1,2,0.06340906
8,1,2,0.13828398
9,1,2,0.13090181
11,1,2,0.12660754
12,1,2,0.08403481
13,1,2,0.28912616
14,1,2,0.06360115
15,1,2,0.13968553
16,1,2,0.06721385
17,1,2,0.08853845
18,1,2,0.07952421
19,1,2,0.07730949
20,1,2,0.09159079
21,1,2,0.3896559
22,1,2,0.17931789
23,1,2,0.20419921
24,1,2,0.07409087
25,1,2,0.122486286
26,1,2,0.23275752
27,1,2,2.877847
28,1,2,0.15545657
30,1,2,0.05548482
31,1,2,0.21183507
32,1,2,1.327274
33,1,2,0.06308298
34,1,2,0.29278767
0,1,5,1.6798041
1,1,5,0.66275275
3,1,5,0.109974034
4,1,5,0.052490786
5,1,5,2.469977
6,1,5,0.15825127
7,1,5,0.08631891
8,1,5,0.2003393
9,1,5,0.1535749
11,1,5,0.14336435
12,1,5,0.10395904
13,1,5,0.45373458
14,1,5,0.07811101
15,1,5,0.18943202
16,1,5,0.09060697
17,1,5,0.11524995
18,1,5,0.08889223
19,1,5,0.08784756
20,1,5,0.13993253
21,1,5,0.62927836
22,1,5,0.2813038
23,1,5,0.31161413
24,1,5,0.083150044
25,1,5,0.1507799
26,1,5,0.33917138
27,1,5,4.0682383
28,1,5,0.186425
30,1,5,0.070982896
31,1,5,0.31390312
32,1,5,1.8662899
33,1,5,0.085036166
34,1,5,0.48278672
0,1,10,3.7420318
1,1,10,1.3899666
3,1,10,0.14042802
4,1,10,0.07003071
5,1,10,4.844443
6,1,10,0.2046533
7,1,10,0.12509666
8,1,10,0.32583407
9,1,10,0.18279117
11,1,10,0.16337179
12,1,10,0.13165829
13,1,10,0.75013787
14,1,10,0.096502885
15,1,10,0.26726654
16,1,10,0.12583715
17,1,10,0.16423926
18,1,10,0.09849765
19,1,10,0.09981568
20,1,10,0.24797943
21,1,10,0.96837103
22,1,10,0.45815927
23,1,10,0.5050153
24,1,10,0.092635795
25,1,10,0.18774618
26,1,10,0.50029016
27,1,10,5.253608
28,1,10,0.22796541
