seed,steps,loss
0,1,0.6632228493690491
0,2,0.8386115431785583
0,5,1.7648236751556396
0,10,4.097463130950928
0,50,5.859086990356445
0,100,5.948639392852783
0,200,5.950273513793945
0,500,5.957882404327393
1,1,0.6649965047836304
1,2,0.840774655342102
1,5,1.828652262687683
1,10,4.078488349914551
1,50,5.851897716522217
1,100,5.944684028625488
1,200,5.950170040130615
1,500,5.951081275939941
2,1,0.674412190914154
2,2,0.8378987312316895
2,5,1.7692151069641113
2,10,4.0799713134765625
2,50,5.844084739685059
2,100,5.939546585083008
2,200,5.959678649902344
2,500,5.956399917602539
3,1,0.6691185235977173
3,2,0.848457396030426
3,5,1.772733211517334
3,10,4.122785568237305
3,50,5.85713529586792
3,100,5.949562072753906
3,200,5.95806884765625
3,500,5.9499406814575195
4,1,0.6685287356376648
4,2,0.8457264304161072
4,5,1.795500636100769
4,10,4.103971004486084
4,50,5.844390869140625
4,100,5.947699069976807
4,200,5.95225715637207
4,500,5.949277400970459
5,1,0.6668274998664856
5,2,0.832744300365448
5,5,1.7998133897781372
5,10,4.111931800842285
5,50,5.8601603507995605
5,100,5.951807498931885
5,200,5.95502233505249
5,500,5.953325271606445
6,1,0.660176157951355
6,2,0.8381204605102539
6,5,1.7723135948181152
6,10,4.094141960144043
6,50,5.852388858795166
6,100,5.942623138427734
6,200,5.952416896820068
6,500,5.94873571395874
7,1,0.6679522395133972
7,2,0.839728832244873
7,5,1.796422004699707
7,10,4.116468906402588
7,50,5.841617107391357
7,100,5.947150707244873
7,200,5.950239658355713
7,500,5.9570207595825195
8,1,0.6652538776397705
8,2,0.8356654644012451
8,5,1.7989140748977661
8,10,4.1102471351623535
8,50,5.853264808654785
8,100,5.945522785186768
8,200,5.945516109466553
8,500,5.955488681793213
9,1,0.6657791137695312
9,2,0.8385691046714783
9,5,1.7438539266586304
9,10,4.10699462890625
9,50,5.8685126304626465
9,100,5.947101593017578
9,200,5.947288513183594
9,500,5.951550006866455
10,1,0.6688588261604309
10,2,0.8385139107704163
10,5,1.8019975423812866
10,10,4.121780872344971
10,50,5.840155601501465
10,100,5.946745872497559
10,200,5.9496307373046875
10,500,5.952966690063477
11,1,0.6677754521369934
11,2,0.8308926820755005
11,5,1.7683265209197998
11,10,4.119699478149414
11,50,5.837949752807617
11,100,5.953338146209717
11,200,5.95738410949707
11,500,5.947770595550537
12,1,0.6679206490516663
12,2,0.8495630621910095
12,5,1.7794010639190674
12,10,4.118131637573242
12,50,5.856771469116211
12,100,5.94623327255249
12,200,5.951546669006348
12,500,5.951770782470703
13,1,0.665099561214447
13,2,0.8347634077072144
13,5,1.7721991539001465
13,10,4.1283860206604
13,50,5.850567817687988
13,100,5.943316459655762
13,200,5.94821834564209
13,500,5.958853721618652
14,1,0.6653404831886292
14,2,0.838537871837616
14,5,1.7857431173324585
14,10,4.092380523681641
14,50,5.853695392608643
14,100,5.943210124969482
14,200,5.950938701629639
14,500,5.956735134124756
15,1,0.6600048542022705
15,2,0.837675929069519
15,5,1.7979575395584106
15,10,4.122442722320557
15,50,5.865599155426025
15,100,5.944305419921875
15,200,5.9598565101623535
15,500,5.953591346740723
16,1,0.6679001450538635
16,2,0.8437420129776001
16,5,1.7505710124969482
16,10,4.126481056213379
16,50,5.8254804611206055
16,100,5.943380355834961
16,200,5.9534711837768555
16,500,5.952022552490234
17,1,0.665535032749176
17,2,0.832724392414093
17,5,1.7763092517852783
17,10,4.102607250213623
17,50,5.848824501037598
17,100,5.949564456939697
17,200,5.9542436599731445
17,500,5.947846412658691
18,1,0.6660489439964294
18,2,0.8413161635398865
18,5,1.7691806554794312
18,10,4.136802673339844
18,50,5.839851379394531
18,100,5.950412273406982
18,200,5.950684547424316
18,500,5.958027362823486
19,1,0.6671839952468872
19,2,0.8312501311302185
19,5,1.7783787250518799
19,10,4.128134727478027
19,50,5.865279197692871
19,100,5.948902130126953
19,200,5.958828449249268
19,500,5.952784538269043
